country,date,GDP_current_USD,GDP_growth_annual_percent,Inflation_consumer_prices_percent,Exports_percent_GDP,Imports_percent_GDP,FDI_net_inflows_USD,Exchange_rate_LCU_per_USD
China,2024,18743803170827.2,4.9773565917572,0.218128938439177,20.0229166362049,17.1755035026016,18556141172.84,7.19749110789917
China,2023,18270356654533.2,5.41484330099675,0.234836828893051,19.102471716101,17.0027206530128,51338076801.59,7.08399842343631
China,2022,18316765021690.2,3.1341888719577,1.97357555739051,20.2977316914005,17.1429881849654,190203789092.51,6.73715811237119
China,2021,18201698719564.0,8.57008513166322,0.981015135544882,19.5262422245091,16.9944489517585,344074977062.48,6.44897518024316
China,2020,14996414166715.1,2.34018843078414,2.41942189457782,18.2035821684822,15.8353686179759,253095616058.58,6.90076726944925
China,2019,14560167101283.4,6.06850235053705,2.89923416358227,18.0557069597496,17.1437133141341,187169822364.755,6.90838500992901
China,2018,14147765772963.8,6.75671800166833,2.07479039965576,18.770519802938,18.1238645885338,235365050036.341,6.61595717735439
China,2017,12537559062282.9,6.8912663621211,1.59313600071436,19.3356301657728,17.6152224500872,166083755721.648,6.75875508633597
China,2016,11456024084962.0,6.77555562837017,2.00000182191943,19.2036507365412,16.9735199564368,174749584584.05,6.6444778294468
China,2015,11280814787468.9,6.97878002657477,1.43702380935655,20.9390642234326,17.7581206128298,242489331627.398,6.22748867298455
China,2014,10674533168257.4,7.46190028229434,1.92164162788521,23.0719766947263,20.9964797865269,268097181064.335,6.14343409448867
China,2013,9743124247267.24,7.77872409446717,2.62105001748115,24.1633430905854,21.7526982889717,290928431467.003,6.19575834608231
China,2012,8673664713189.24,7.85617427055587,2.61952432645541,25.07670432956,22.4035087488717,241213868161.42,6.31233282683186
China,2011,7671757207851.29,9.4613358870736,5.55389892257493,26.1518828948759,23.7939443304884,280072219149.934,6.46146132655007
China,2010,6192564874453.29,10.5962719761682,3.17532475269199,26.7227451502469,23.1313270836509,243703434558.177,6.77026902870939
China,2009,5189577094997.58,9.40269972778044,-0.728165250932898,24.3307718125403,20.0889926205716,131057052869.5,6.83141605176666
China,2008,4667346414521.95,9.67024588602851,5.92525137041092,32.092513602143,24.6186193981779,171534650311.568,6.948655
China,2007,3604055822571.63,14.1499854947127,4.81676767378834,34.9066956194649,26.3597683811527,156249335203.201,7.6075325
China,2006,2791498472804.33,12.6746751655235,1.6494309945586,35.5268468681701,28.0427329939926,124082035618.505,7.97343833333333
China,2005,2317551298052.05,11.458238455067,1.77641407667571,33.3687977498922,27.9912771909315,104108693867.085,8.19431666666667
China,2004,1984196551300.44,10.1314073631003,3.82463743108159,30.6097162464404,28.0306177944035,68117272181.2194,8.27680083333333
China,2003,1683903309843.85,10.1181928640117,1.12760348729637,26.6023738514511,24.4751062787292,57900937467.3864,8.27703666666667
China,2002,1489821682050.54,9.24339326638321,-0.731970902350244,22.3518233715808,19.8426189671605,53073618897.4036,8.2769575
China,2001,1355036590251.52,8.31263887091522,0.719125609120114,20.0776873829946,18.0049595688389,47053000000.0,8.27706833333333
China,2000,1223754919971.05,8.58643201808462,0.347811226864587,20.681599363293,18.3293431142068,42095300000.0,8.27850416666666
China,1999,1103843203575.64,7.7370030581299,-1.40147268276465,18.0006905864312,15.2248474895742,41014000000.0,8.27825
China,1998,1037134141760.35,7.92079207933551,-0.773186011549318,18.1992267514817,13.9725131842671,45644000000.0,8.27895833333333
China,1997,967753570434.667,9.2876465280865,2.78646505531882,19.3692945938508,14.9442817281513,45439000000.0,8.28981666666667
China,1996,868523936530.083,9.97619992053447,8.31316028893909,17.8247104643429,15.8040407669576,40180000000.0,8.314175
China,1995,738190896227.55,11.0328121562746,16.7912251650916,17.8624291729756,16.2425229859567,35849200000.0,8.35141666666667
China,1994,566929539493.172,13.0727091631599,24.2569897243361,18.4515778259707,17.1538856989073,33787000000.0,8.61874266666666
