GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,CAMEOCodeDescription,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1281341085,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,042, Make a visit,042,04,1,1.9,2,1,2,-2.6948989412897,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,Nigeria,NI,NI,,10.0,8.0,NI,20251229074500,https://spectator.org/a-trump-worthy-year-for-the-military/
1281341086,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,042, Make a visit,042,04,1,1.9,6,1,6,-2.6948989412897,1,China,CH,CH,,35.0,105.0,CH,1,Russia,RS,RS,,60.0,100.0,RS,1,Nigeria,NI,NI,,10.0,8.0,NI,20251229074500,https://spectator.org/a-trump-worthy-year-for-the-military/
1281341601,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,043, Host a visit,043,04,1,2.8,2,1,2,-2.6948989412897,4,"Isfahan, Esfahan, Iran",IR,IR28,40941,32.6597,51.6714,6013426,4,"Isfahan, Esfahan, Iran",IR,IR28,40941,32.6597,51.6714,6013426,4,"Isfahan, Esfahan, Iran",IR,IR28,40941,32.6597,51.6714,6013426,20251229074500,https://spectator.org/a-trump-worthy-year-for-the-military/
1281341602,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,043, Host a visit,043,04,1,2.8,2,1,2,-2.6948989412897,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,Nigeria,NI,NI,,10.0,8.0,NI,20251229074500,https://spectator.org/a-trump-worthy-year-for-the-military/
1281341603,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,043, Host a visit,043,04,1,2.8,6,1,6,-2.6948989412897,1,Russia,RS,RS,,60.0,100.0,RS,1,China,CH,CH,,35.0,105.0,CH,1,Nigeria,NI,NI,,10.0,8.0,NI,20251229074500,https://spectator.org/a-trump-worthy-year-for-the-military/
1281346666,20241229,202412,2024,2024.9836,RUS,RUSSIAN,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,060," Engage in material cooperation, not spec below",060,06,2,6.0,5,1,5,-4.87272727272727,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20251229084500,http://www.strategypage.com/%5Chtmw%5Chtairw%5Carticles%5C202512285515.aspx
1281347313,20251229,202512,2025,2025.9836,RUS,RUSSIAN,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,060," Engage in material cooperation, not spec below",060,06,2,6.0,2,1,2,-4.87272727272727,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20251229084500,http://www.strategypage.com/%5Chtmw%5Chtairw%5Carticles%5C202512285515.aspx
1281339629,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,050," Engage in diplomatic cooperation, not specified below",050,05,1,3.5,2,1,2,0.0,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20251229073000,https://www.brahmand.com/news-detail/22056
1281339630,20251229,202512,2025,2025.9836,CHN,BEIJING,CHN,,,,,,,,RUS,MOSCOW,RUS,,,,,,,,0,050," Engage in diplomatic cooperation, not specified below",050,05,1,3.5,6,1,6,0.0,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20251229073000,https://www.brahmand.com/news-detail/22056
1281339631,20251229,202512,2025,2025.9836,CHN,BEIJING,CHN,,,,,,,,RUS,MOSCOW,RUS,,,,,,,,0,050," Engage in diplomatic cooperation, not specified below",050,05,1,3.5,2,1,2,0.0,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20251229073000,https://www.brahmand.com/news-detail/22056
1281349043,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,013, Make optimistic comment,013,01,1,0.4,1,1,1,-2.91338582677166,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,1,China,CH,CH,,35.0,105.0,CH,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20251229090000,https://nuclear-news.net/2025/12/29/1-b1-the-2025-nuclear-year-in-review-back-to-the-future-atomic-age/
1281349052,20251229,202512,2025,2025.9836,RUSGOV,RUSSIA,RUS,,,,,GOV,,,CHN,CHINA,CHN,,,,,,,,1,010," Make statement, not specified below",010,01,1,0.0,1,1,1,-2.91338582677166,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20251229090000,https://nuclear-news.net/2025/12/29/1-b1-the-2025-nuclear-year-in-review-back-to-the-future-atomic-age/
