observation_date,CCUSSP02RUM650N
1992-06-01,0.1000
1992-07-01,0.1610
1992-08-01,0.2050
1992-09-01,0.2540
1992-10-01,0.3980
1992-11-01,0.4470
1992-12-01,0.4150
1993-01-01,0.5720
1993-02-01,0.5930
1993-03-01,0.6840
1993-04-01,0.8230
1993-05-01,0.9910
1993-06-01,1.0600
1993-07-01,0.9900
1993-08-01,0.9850
1993-09-01,1.2010
1993-10-01,1.1860
1993-11-01,1.2140
1993-12-01,1.2470
1994-01-01,
1994-02-01,
1994-03-01,1.7530
1994-04-01,
1994-05-01,
1994-06-01,1.9850
1994-07-01,
1994-08-01,
1994-09-01,2.5960
1994-10-01,
1994-11-01,
1994-12-01,3.5500
1995-01-01,4.0040
1995-02-01,4.4070
1995-03-01,4.8970
1995-04-01,5.1000
1995-05-01,4.9950
1995-06-01,4.5380
1995-07-01,4.4150
1995-08-01,4.4350
1995-09-01,4.5080
1995-10-01,4.5040
1995-11-01,4.5780
1995-12-01,4.6400
1996-01-01,4.7320
1996-02-01,4.8150
1996-03-01,4.8540
1996-04-01,4.9320
1996-05-01,5.0140
1996-06-01,5.1080
1996-07-01,5.1910
1996-08-01,5.3450
1996-09-01,5.3960
1996-10-01,5.4550
1996-11-01,5.5110
1996-12-01,5.5600
1997-01-01,5.6290
1997-02-01,5.6760
1997-03-01,5.7260
1997-04-01,5.7620
1997-05-01,5.7730
1997-06-01,5.7820
1997-07-01,5.7980
1997-08-01,5.8300
1997-09-01,5.8600
1997-10-01,5.8870
1997-11-01,5.9190
1997-12-01,5.9600
1998-01-01,6.0260
1998-02-01,6.0720
1998-03-01,6.1060
1998-04-01,6.1330
1998-05-01,6.1640
1998-06-01,6.1980
1998-07-01,6.2380
1998-08-01,7.9050
1998-09-01,16.0645
1998-10-01,16.0100
1998-11-01,17.8800
1998-12-01,20.6500
1999-01-01,22.6000
1999-02-01,22.8600
1999-03-01,24.1800
1999-04-01,24.2300
1999-05-01,24.4400
1999-06-01,24.2200
1999-07-01,24.1900
1999-08-01,24.7500
1999-09-01,25.0800
1999-10-01,26.0500
1999-11-01,26.4200
1999-12-01,27.0000
2000-01-01,28.5500
2000-02-01,28.6600
2000-03-01,28.4600
2000-04-01,28.4000
2000-05-01,28.2500
2000-06-01,28.0700
2000-07-01,27.8000
2000-08-01,27.7500
2000-09-01,27.7500
2000-10-01,27.8300
2000-11-01,27.8500
2000-12-01,28.1600
2001-01-01,28.3700
2001-02-01,28.7200
2001-03-01,28.7400
2001-04-01,28.8300
2001-05-01,29.0900
2001-06-01,29.1100
2001-07-01,29.2700
2001-08-01,29.3700
2001-09-01,29.3900
2001-10-01,29.7000
2001-11-01,29.9000
2001-12-01,30.1400
2002-01-01,30.6850
2002-02-01,30.9274
2002-03-01,31.1192
2002-04-01,31.1963
2002-05-01,31.3071
2002-06-01,31.4471
2002-07-01,31.4401
2002-08-01,31.5673
2002-09-01,31.6358
2002-10-01,31.7408
2002-11-01,31.8424
2002-12-01,31.7844
2003-01-01,31.8222
2003-02-01,31.5762
2003-03-01,31.3805
2003-04-01,31.1000
2003-05-01,30.7090
2003-06-01,30.3483
2003-07-01,30.2596
2003-08-01,30.5036
2003-09-01,30.6119
2003-10-01,29.8584
2003-11-01,29.7387
2003-12-01,29.4545
2004-01-01,28.4937
2004-02-01,28.5156
2004-03-01,28.4853
2004-04-01,28.8834
2004-05-01,28.9850
2004-06-01,29.0274
2004-07-01,29.1019
2004-08-01,29.2447
2004-09-01,29.2171
2004-10-01,28.7655
2004-11-01,28.2367
2004-12-01,27.7487
2005-01-01,28.0845
2005-02-01,27.7738
2005-03-01,27.8256
2005-04-01,27.7726
2005-05-01,28.0919
2005-06-01,28.6721
2005-07-01,28.6341
2005-08-01,28.5450
2005-09-01,28.4989
2005-10-01,28.4244
2005-11-01,28.7312
2005-12-01,28.7825
2006-01-01,28.1207
2006-02-01,28.1223
2006-03-01,27.7626
2006-04-01,27.2739
2006-05-01,26.9840
2006-06-01,27.0789
2006-07-01,26.8718
2006-08-01,26.7379
2006-09-01,26.7799
2006-10-01,26.7477
2006-11-01,26.3147
2006-12-01,26.3311
2007-01-01,26.5331
