product_id,product_sitc_code,product_level,product_name,product_name_short,product_parent_id,product_id_hierarchy,show_feasibility
1388,8748,4,"Electrical measuring, controlling, etc, instruments, apparatus, nes","Electrical measuring, controlling, etc, instruments, apparatus, nes",160,9.160.1388,True
1389,8749,4,"Parts, nes, and accessories of headings 873, 8743, 87454 or 8748","Parts, nes, and accessories of headings 873, 8743, 87454 or 8748",160,9.160.1389,True
1390,8811,4,"Photographic cameras, flashlight apparatus, parts, accessories, nes","Photographic cameras, flashlight apparatus, parts, accessories, nes",161,9.161.1390,True
1391,8812,4,"Cinematographic cameras, projectors, etc, parts, accessories, nes","Cinematographic cameras, projectors, etc, parts, accessories, nes",161,9.161.1391,True
1392,8813,4,"Photographic and cinematographic apparatus and equipment, nes","Photographic and cinematographic apparatus and equipment, nes",161,9.161.1392,True
1393,8821,4,Chemical products and flashlight materials for use in photografy,Chemical products and flashlight materials for use in photografy,161,9.161.1393,True
1394,8822,4,"Photographic film, plates and paper (other than cinematograph film)","Photographic film, plates and paper (other than cinematograph film)",161,9.161.1394,False
1395,8830,4,"Cinematograph film, exposed and developed","Cinematograph film, exposed and developed",161,9.161.1395,False
1396,8841,4,Lenses and other optical elements of any material,Lenses and other optical elements of any material,161,9.161.1396,True
1397,8842,4,Spectacles and spectacle frames,Spectacles and spectacle frames,161,9.161.1397,True
1398,8851,4,"Watches, watch movements and case","Watches, watch movements and case",161,9.161.1398,False
1399,8852,4,"Clocks, clock movements and parts","Clocks, clock movements and parts",161,9.161.1399,False
1400,8921,4,"Printed books, pamphlets, maps and globes","Printed books, pamphlets, maps and globes",162,9.162.1400,True
1401,8922,4,"Newspapers, journals and periodicals","Newspapers, journals and periodicals",162,9.162.1401,True
1402,8924,4,"Picture postcards, decalcomanias, etc, printed","Picture postcards, decalcomanias, etc, printed",162,9.162.1402,True
1403,8928,4,"Printed matter, nes","Printed matter, nes",162,9.162.1403,False
1404,8931,4,"Plastic packing containers, lids, stoppers and other closures","Plastic packing containers, lids, stoppers and other closures",162,9.162.1404,True
1405,8932,4,Plastic sanitary and toilet articles,Plastic sanitary and toilet articles,162,9.162.1405,True
1406,8933,4,Personal adornments and ornaments articles of plastic,Personal adornments and ornaments articles of plastic,162,9.162.1406,True
1407,8935,4,Articles of electric lighting of plastic,Articles of electric lighting of plastic,162,9.162.1407,True
1408,8939,4,Miscellaneous articles of plastic,Miscellaneous articles of plastic,162,9.162.1408,True
1409,8941,4,"Baby carriages and parts thereof, nes","Baby carriages and parts thereof, nes",162,9.162.1409,True
1410,8942,4,"Children's toys, indoor games, etc","Children's toys, indoor games, etc",162,9.162.1410,False
1411,8946,4,Non-military arms and ammunition therefor,Non-military arms and ammunition therefor,162,9.162.1411,True
1412,8947,4,"Other sporting goods and fairground amusements, etc","Other sporting goods and fairground amusements, etc",162,9.162.1412,True
1413,8951,4,"Office and stationary supplies, of base metal","Office and stationary supplies, of base metal",162,9.162.1413,True
1414,8952,4,"Pens, pencils and, fountain pens","Pens, pencils and, fountain pens",162,9.162.1414,True
1415,8959,4,Other office and stationary supplies,Other office and stationary supplies,162,9.162.1415,True
1416,8960,4,"Works of art, collectors' pieces and antiques","Works of art, collectors' pieces and antiques",162,9.162.1416,False
1417,8972,4,Imitation jewellery,Imitation jewellery,162,9.162.1417,True
1418,8973,4,"Precious jewellery, goldsmiths' or silversmiths' wares","Precious jewellery, goldsmiths' or silversmiths' wares",162,9.162.1418,True
1419,8974,4,"Other articles of precious metals or rolled precious metals, nes","Other articles of precious metals or rolled precious metals, nes",162,9.162.1419,True
1420,8981,4,"Pianos, other string musical instruments","Pianos, other string musical instruments",162,9.162.1420,True
1421,8982,4,"Musical instruments, nes","Musical instruments, nes",162,9.162.1421,False
1422,8983,4,"Sound recording tape, discs","Sound recording tape, discs",162,9.162.1422,True
1423,8989,4,"Parts, nes of and accessories for musical instruments; metronomes","Parts, nes of and accessories for musical instruments; metronomes",162,9.162.1423,True
1424,8991,4,"Articles and manufacture of carving, moulding materials, nes","Articles and manufacture of carving, moulding materials, nes",162,9.162.1424,True
1425,8993,4,"Candles, matches, combustible products, etc","Candles, matches, combustible products, etc",162,9.162.1425,True
1426,8994,4,"Umbrellas, canes and similar articles and parts thereof","Umbrellas, canes and similar articles and parts thereof",162,9.162.1426,True
1427,8996,4,"Orthopaedic appliances, hearing aids, artificial parts of the body","Orthopaedic appliances, hearing aids, artificial parts of the body",162,9.162.1427,True
1428,8997,4,"Basketwork, wickerwork; brooms, paint rollers, etc","Basketwork, wickerwork; brooms, paint rollers, etc",162,9.162.1428,True
1429,8998,4,"Small-wares and toilet articles, nes; sieves; tailors' dummies, etc","Small-wares and toilet articles, nes; sieves; tailors' dummies, etc",162,9.162.1429,False
1430,8999,4,"Manufactured goods, nes","Manufactured goods, nes",162,9.162.1430,False
1431,9110,4,Postal packages not classified according to kind,Postal packages not classified according to kind,163,10.163.1431,False
1432,9310,4,"Special transactions, commodity not classified according to class","Special transactions, commodity not classified according to class",164,10.164.1432,False
1433,9410,4,"Animals, live, nes, (including zoo animals, pets, insects, etc)","Animals, live, nes, (including zoo animals, pets, insects, etc)",165,10.165.1433,True
1434,9510,4,"Armoured fighting vehicles, war firearms, ammunition, parts, nes","Armoured fighting vehicles, war firearms, ammunition, parts, nes",166,10.166.1434,False
1435,9610,4,"Coin (other than gold coin), not being legal tender","Coin (other than gold coin), not being legal tender",167,10.167.1435,True
1436,9710,4,"Gold, non-monetary (excluding gold ores and concentrates)","Gold, non-monetary (excluding gold ores and concentrates)",168,10.168.1436,False
1437,XXXX,4,Trade data discrepancies,Trade data discrepancies,169,10.169.1437,False
