Country,Year,Variable,Unit,Value
Argentina,2024,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.224805066
Argentina,2024,Wind,Share of Generation Mix,0.106015445
Argentina,2024,Solar,Share of Generation Mix,0.026002159
Argentina,2024,Hydro,Share of Generation Mix,0.194547829
Argentina,2024,Other Renewables,Share of Generation Mix,0.017274414
Argentina,2024,Nuclear,Share of Generation Mix,0.068517558
Argentina,2024,Gas,Share of Generation Mix,0.537394592
Argentina,2024,Oil,Share of Generation Mix,0.03810815
Argentina,2024,Coal ,Share of Generation Mix,0.008563584
Argentina,2024,Other non-Renewable,Share of Generation Mix,0.003576268
Australia,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,303.4920596
Australia,1990,Fossil Fuel Consumption,Exajoules,3.618040264
Australia,1990,Renewable Energy Consumption,Share of Total Energy Consumption,0.016692573
Australia,1990,Carbon Intensity,tonne CO2-eq per Megajoule,82.48277443
Australia,1990,Energy Consumption per Capita,Gigajoules per capita,214.8426872
Australia,1990,Economy-wide Energy Intensity,Megajoules per $ GDP,7.069376487
Australia,1990,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.583101786
Australia,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,460.9107691
Australia,2008,Fossil Fuel Consumption,Exajoules,5.3112849
Australia,2008,Renewable Energy Consumption,Share of Total Energy Consumption,0.01856278
Australia,2008,Carbon Intensity,tonne CO2-eq per Megajoule,85.16865343
Australia,2008,Energy Consumption per Capita,Gigajoules per capita,253.2331648
Australia,2008,Economy-wide Energy Intensity,Megajoules per $ GDP,5.730990736
Australia,2008,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.488100764
Australia,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,446.6239506
Australia,2012,Fossil Fuel Consumption,Exajoules,5.215449214
Australia,2012,Renewable Energy Consumption,Share of Total Energy Consumption,0.026575501
Australia,2012,Carbon Intensity,tonne CO2-eq per Megajoule,83.35901233
Australia,2012,Energy Consumption per Capita,Gigajoules per capita,234.4514885
Australia,2012,Economy-wide Energy Intensity,Megajoules per $ GDP,5.092927764
Australia,2012,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.424541428
Australia,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,464.2457767
Australia,2017,Fossil Fuel Consumption,Exajoules,5.379548788
Australia,2017,Renewable Energy Consumption,Share of Total Energy Consumption,0.031094855
Australia,2017,Carbon Intensity,tonne CO2-eq per Megajoule,83.61484203
Australia,2017,Energy Consumption per Capita,Gigajoules per capita,224.5030488
Australia,2017,Economy-wide Energy Intensity,Megajoules per $ GDP,4.678060418
Australia,2017,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.391155283
Australia,2024,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,439.9428454
