Methode,Coefficient,p_value,Effet_pct
DiD 2014,0.4055891495162754,0.03490867475707,50.01860736523469
DiD 2022,-0.13359596109620003,0.36135636904389035,-12.505649558878119
DiD 2022 (rob. BRA),0.6558011022198613,6.934018430909778e-12,92.66853712298932
