year,Afrique,Ameriques,Asie,Autre,CEI,Europe,Moyen-Orient,Oceanie
1992,0.4997753122125467,8.536060674017513,19.88263012126168,2.121862404448821,0.0,66.49017765085377,2.3521999176964066,0.11729391950926651
1995,0.673393195743985,8.120251645984572,21.520359156321,1.8096876263987582,4.2041264230637525,59.40672629698195,4.07639946817847,0.18905618732751647
1996,0.38748378385083354,6.57528758893098,15.009995708354671,4.859163983939734,20.35265782817513,49.27838564867449,3.4054573723364845,0.1315680857376872
1997,0.2716864133891021,7.220573205411264,13.832283411054005,4.16630333965331,18.327703677150488,52.099894500082534,3.861387760929133,0.22016769233016248
1998,0.39114624495503625,8.94967131489653,11.64389736786713,4.656529766595846,19.79539778812947,50.32079529547848,4.06926303762137,0.1732991844561347
1999,0.5308374631879194,8.427152726248268,14.602467506603336,5.538535145942463,17.546958070819414,49.07115861128788,4.212056247735296,0.07083422817542297
2000,0.45815815566348783,7.465164179665303,13.610089442760637,5.4185706915326985,16.744368088840357,52.1109668649933,4.13702428745922,0.05565828908498866
2001,0.4772251442089631,7.0439401077351125,14.125368701931798,4.75085885838302,16.355457995797522,52.97701235808934,4.203112340394305,0.06702449345994141
2002,0.5431509672269902,6.972473527573715,14.57742843278093,3.82389101660415,15.339860417436235,54.11040601141246,4.549336656416533,0.08345297054899098
2003,0.4323692517027426,6.622161725018316,14.874150175797807,3.306744387702583,15.90055625719153,54.15920722981853,4.615448990220434,0.08936198254805625
2004,0.49409059438570346,6.569598918810553,15.428419635288062,2.8436089919152927,16.312760777508668,53.33820165378786,4.935908844552873,0.07741058375098084
2005,0.4853476716704488,6.957447214762215,16.127212184496454,2.8016253123642874,14.247028819537361,53.96062937231688,5.3344899600990034,0.08621946475334484
2006,0.4112274969360237,6.907051335036255,15.258173281221971,2.2964906772010263,13.93980084475828,55.70373491348112,5.390736584366345,0.09278486699898024
2007,0.5162370775052684,6.149233924731778,17.399841007749338,2.1861907799835176,14.359340841197,53.39254829171964,5.912074397977491,0.08453367913596646
2008,0.6035346179459316,6.599030160648916,17.543910342020958,2.167542822790657,14.212966782291828,52.79837569969816,5.91460357573967,0.16003599886387812
2009,0.6040616674594586,6.624874899776037,17.37224909557837,2.376731681647654,14.381900560800853,52.401820458734285,6.09070905523362,0.14765258076972287
2010,0.5946238464161557,6.547263714183636,20.190530036464477,2.1421612119195244,13.88341933470032,51.01139535085678,5.448898662414829,0.18170784304427515
2011,0.7343535115572001,6.5073897812459025,20.23571460231388,2.438662342407045,14.92763547485836,50.17451295612319,4.730517109940316,0.2512142215541141
2012,0.8133772357146719,6.021074795452134,21.793270624736422,2.308924503182439,14.10429991373882,49.671388015100106,5.109859130027282,0.17780578204812297
2013,0.6342308961444962,5.816517529855618,22.510755807440603,2.4812424626908687,13.026301599365539,50.27422980698045,5.040783245406195,0.21593865211622956
2014,0.6207341623282735,6.013937354598359,25.573556622138906,2.3411213771464268,11.67960108691903,48.21320895170144,5.336898114901789,0.2209423302657799
2015,0.9239793858158574,6.391623927398836,26.945263987172048,2.768083193110596,12.118426039851498,44.275806936928376,6.409589922189955,0.1672266075328333
2016,1.4195107916215985,6.013831186070098,28.112231118133447,3.069814926817296,12.37279506490141,43.430504380051254,5.467436162626623,0.11387636977827252
2017,1.3350431820988395,5.842977546362296,28.586961215462637,2.8722041089161294,13.005133367444715,42.50357275050123,5.702401839180523,0.15170599003363544
2018,1.4796766005808326,5.619747283119105,29.565905446086788,2.9118840250941544,12.088876015532044,42.337704468894565,5.8856251356865625,0.11058102500594841
2019,1.165369609938168,5.829177376773787,29.893935156252077,2.9051107456979697,12.838326401513447,41.32382949172791,5.8806479587407035,0.16360325935593534
2020,1.2823172522390731,5.372855620936296,32.423522313156724,2.9239176354650085,12.949833888140619,38.96444937501713,5.902264769067764,0.18083914597738393
2021,1.0925099521807784,6.449133725060735,31.836526580458642,2.9677692193546,11.735572619004191,39.48483928705055,6.326670726094958,0.10697789079554948
2022,0.6720772694280014,3.9750572161744024,39.997797925762804,2.6642589738159557,6.64263773842417,35.051562826022185,10.899497002416354,0.09711104795613143
2023,1.0627807045818145,3.114794834107291,57.902478060079865,2.5769467373330945,8.123529596145682,15.630389423173987,11.58480018686249,0.004280457715780436
2024,0.5039289624143202,3.164573338508562,61.223932917134896,2.0945643346249994,10.001015006642449,13.012966970996551,9.996348643654624,0.0026698260236032315
