date,CHN_exp_to_RUS_bn,RUS_exp_to_CHN_bn,brent_usd,usd_rub,usd_cny,ln_CHN_exp_to_RUS_bn,ln_RUS_exp_to_CHN_bn,ln_brent_usd,ln_usd_rub,ln_usd_cny
2017-01-01,3.335331793,3.159813913,54.57666666666666,60.1618,6.890663157894736,1.2045721625748906,1.1505131375736979,3.999606440983291,4.097037599406749,1.9301673297254993
2017-02-01,1.991553832,3.025372864,54.8695,57.9371,6.869426315789474,0.6889151541554794,1.1070343447132596,4.004957638581762,4.059357939310871,1.9270805970399623
2017-03-01,2.97196314,3.497521718,51.589130434782604,56.3779,6.894,1.089222724355991,1.25205463711649,3.9433109998088773,4.032077237741472,1.9306514680946736
2017-04-01,3.168360874,3.339516628,52.30789473684211,56.9838,6.887555000000001,1.1532143797121468,1.2058260743596587,3.957147310670168,4.0427670169127685,1.929716159928093
2017-05-01,3.691494555,3.846448227,50.326521739130435,56.5168,6.884304545454546,1.3060314045058368,1.347150184057648,3.918532209302776,4.034537939086836,1.9292441169777443
2017-06-01,3.980719586,3.361153385,46.36818181818182,59.0855,6.806563636363635,1.381462603456418,1.2122841844169088,3.8366134873301574,4.078985547439873,1.9178873872785753
2017-07-01,3.939895072,3.081067075,48.47857142857143,59.5436,6.769425,1.3711540914831373,1.1252759899066054,3.881121874094454,4.0867088173136965,1.9124161497868464
2017-08-01,4.38508346,2.937741839,51.70434782608696,58.7306,6.666995652173913,1.4782086587102945,1.0776412042517123,3.945541875194793,4.07296088572607,1.8971693314944043
2017-09-01,3.774337264,3.889614001,56.152857142857144,58.0169,6.568989999999999,1.328224808083369,1.3583099241721739,4.028077564001336,4.060734347414058,1.882360091607457
2017-10-01,3.513732018,3.170593743,57.50772727272727,57.8716,6.6254,1.2566787256161178,1.153918870981531,4.051919326125912,4.058226763380492,1.890910747408137
2017-11-01,4.031070101,3.970303153,62.71409090909091,58.3311,6.6200149999999995,1.394031874457644,1.3788424527409284,4.138586157781859,4.066135398808202,1.8900976358073769
2017-12-01,4.047058122,4.11114651,64.3736842105263,57.6002,6.593195,1.3979902275400438,1.4137019458114752,4.164704919326876,4.053526039918039,1.886038056517681
2018-01-01,3.863898073,4.439385876,69.07727272727273,56.2914,6.423295238095237,1.3516765373791613,1.4905160506613473,4.235225772581243,4.030541770369353,1.8599312629821825
2018-02-01,3.565156504,3.911383898,65.3175,55.6717,6.318315789473684,1.2712079530429288,1.363891249483375,4.179259994252868,4.019471938822756,1.8434526836369325
2018-03-01,2.840620492,4.564968526,66.01666666666667,57.2649,6.317368181818182,1.04402251140775,1.518411619390086,4.189907235399816,4.047687870580801,1.8433026945014916
2018-04-01,3.617438709,4.559884007,72.10600000000001,61.9997,6.2966523809523816,1.2857662364635902,1.5172971861413636,4.278137258581619,4.127129546323707,1.8400181240686293
2018-05-01,4.391454457,5.074579079,76.9752380952381,62.5937,6.3700636363636365,1.4796604836051026,1.6242435813896088,4.343483786955999,4.136664634063975,1.8516094595441621
2018-06-01,4.210264541,4.223084393,74.4047619047619,62.7565,6.465123809523809,1.4375254820622125,1.440565759886628,4.309519943887134,4.13926215830464,1.866422162778856
2018-07-01,4.389782834,4.728642474,74.2540909090909,62.7805,6.716447619047619,1.4792797575263517,1.553638157927825,4.30749287258379,4.1396445157019395,1.90455938664404
2018-08-01,4.265857434,4.921177863,72.52826086956522,68.0821,6.8452652173913044,1.4506432003627385,1.5935479049006602,4.283976291003811,4.220714329852844,1.923557204139004
