Year,MUV_Index,Energy_Index_Nominal,Metals_Index_Nominal,ToT_Russia_Approx
1960,19.14191419141914,2.13444915445322,12.6770778233,33.18111531833717
1961,19.52108276939094,2.08333169406974,12.36963077785,31.749526400759265
1962,19.88162496637073,2.04291400240146,12.21425009028,30.739179759653645
1963,19.50848745882949,2.01464105072438,12.28981719486,31.395112108533045
1964,19.7903668579985,1.94437457589987,14.57020011129,35.34398750788661
1965,19.990042320139406,1.93898601535253,16.49704820784,38.83038749011206
1966,20.707831325301203,1.88204058774968,17.43151239335,39.12447026787806
1967,20.90099528548979,1.86618435986511,15.32587993892,34.68764282493436
1968,20.714285714285715,1.85300340098579,16.04250241721,36.34594555332987
1969,21.829855537720704,1.81259494779253,17.98905135148,37.94426167848283
1970,23.21857485988791,2.11311453784639,18.27384108503,36.941996692217494
1971,24.419557497951377,2.70936939051966,16.8007732166,34.177240605821616
1972,26.62135372415746,2.92528497197365,16.46221884098,31.32845386449312
1973,30.88960342979636,4.1740098635899,21.49028212624,35.93609996929352
1974,37.637985785573875,13.8029622412604,26.70617307809,50.38592310447436
1975,41.81059024482824,13.8493572313914,23.34227125951,42.205868750732655
1976,42.318736539842064,15.3701481052498,25.34049851961,45.744012826962646
1977,45.736301369863014,16.84637631586,28.33081622651,46.87775713811336
1978,53.15227934044617,17.67004441125,30.70139479205,43.05099395080414
1979,59.30590915181563,39.03839955154,39.0517492957,65.83448429945987
1980,65.2257077276205,46.7843762097,42.87884752722,69.33181150836053
1981,65.29955770004021,46.86210123227,33.87738996105,63.81087130052082
1982,63.35626253940957,44.01151477599,28.89373604256,59.922100453768024
1983,61.66883963494133,39.34468226804,34.38814132535,60.58499902403677
1984,60.31448355452973,37.82405642812,30.89119865988,58.11359271465007
1985,59.68521115786193,36.14621258779,28.24157753227,55.26387177946206
1986,68.64035087719299,21.85039023997,28.34936993091,35.62042123020375
1987,75.2415458937198,24.51793142323,36.07201407439,38.728024707060406
1988,80.10792249202844,21.19183459737,56.43143375197,44.05016777550496
1989,79.6500920810313,24.66286336059,51.569472723,44.476417013446984
1990,82.6745718050066,30.94902134676,45.33768759565,44.39634466191848
1991,81.89655172413795,27.00753120564,38.57241981199,38.62615211777767
1992,83.425,26.21400696194,37.31883515755,36.74670451325622
1993,86.31096739423336,23.94841605937,32.14374189495,31.544712352999383
1994,83.72151898734177,22.32581449567,38.56614910051,34.42597397446136
1995,91.90721649484536,23.87785370246,46.96237468675,36.02727115343884
1996,90.17919478706075,29.02206941973,40.05542094931,37.07663404016049
1997,85.91746327815342,26.85881326531,41.2903055161,37.979950664957904
1998,82.17934165720771,19.06748710387,33.76474325216,30.356034813766392
1999,80.59138800623823,24.41549872516,33.52692270648,34.81770076415111
2000,79.5599999999989,39.2156377983,38.24927811018,48.80479376954819
2001,76.58000000000469,35.04610770737,34.38309024162,45.417734031167235
2002,75.67999999999311,33.97167594969,33.08425939619,44.4195419242773
2003,79.61999999999288,41.39682750697,36.83175532693,49.69957125716847
2004,85.0299999999955,53.44147649605,49.28127432247,60.89309141082059
2005,87.69999999999268,75.38773034965,60.10369102587,78.98986843802027
2006,89.92999999999296,85.39766682462,91.92306481571,97.86258870350595
2007,95.42999999999631,94.36914719705,108.12447552986,104.65396471778044
2008,102.82999999999531,129.03409536099,102.22371012061,115.053915457399
2009,96.46000000000583,79.35657336959,68.41676522365,77.73237622974236
2010,100.0,100.0,100.0,100.0
2011,111.0399999999971,135.21507073254,113.49124257509,113.94591090558657
2012,110.23000000000305,134.12247156247,96.12756237208,107.88760581176695
2013,109.75000000000644,131.65296819687,90.80847565449,105.07077100675284
2014,108.25000000000277,120.40235773113,84.79044062036,98.06705855595314
2015,97.87000000000965,66.09910600088,66.93781916701,67.8804447402937
2016,94.03000000000694,56.02388371076,62.96807452078,62.5348931561881
2017,97.2900000000066,69.35798926664,78.19971299913,74.92515033367361
2018,101.86000000000416,89.35813828858,82.51012543675,85.03724047500928
2019,99.48000000000623,78.25171393644,78.35898702329,78.7038833646714
2020,97.90000000000094,52.68381369088,79.14750453154,64.62644538012603
2021,109.39999999999495,95.38153611633,116.4444663316,94.88730183038648
2022,117.44999999999908,152.57393833198,115.02407389721,117.11706475783149
2023,114.10000000000228,106.95201084625,103.99665409897,92.69927094420322
2024,115.10000000000443,101.52399194111,106.74162038439,90.01828263980713
