iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
CHN,RUS,1,0,0,0,0,0,0,0,5795.045,5795.045,5506.708,4984.132
RUS,CHN,1,0,0,0,0,0,0,0,5795.045,5795.045,5506.709,4984.132
