Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Feb 2026 12:57:52 AM

Recipient,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1990-2024,Percentage,Sum total years,Percentage of total
China,,,1008,1011,72,497,1239,734,153,1445,2205,2463,2509,2073,2893,3066,2445,1360,1443,1093,653,741,587,631,561,726,742,1210,1656,1075,547,467,499,327,30,38156,24%,38156,24%
Total exports from Russia,,,2643,3489,1540,3859,3624,3451,2122,4392,4494,5403,5841,5256,6330,5176,5165,5560,5954,5087,6218,8786,8304,7782,5341,5751,6676,6356,6871,5100,3523,2402,2510,1329,1339,157677,100%,157677,

