product_id,product_hs92_code,year,export_value,import_value,pci
1,0,1988,234347234186,234347234186,
1,0,1989,252110304919,252110304919,
1,0,1990,292442135451,292442135451,
1,0,1991,312782750019,312782750019,
1,0,1992,344593270792,344593270792,
1,0,1995,422978345816,422978345816,-0.474
1,0,1996,436519094454,436519094454,-0.499
1,0,1997,462448371651,462448371651,-0.515
1,0,1998,449914820214,449914820214,-0.51
1,0,1999,449470422157,449470422157,-0.518
1,0,2000,477135941318,477135941318,-0.564
1,0,2001,462759832130,462759832130,-0.492
1,0,2002,486525105885,486525105885,-0.528
1,0,2003,553100370619,553100370619,-0.514
1,0,2004,626105524759,626105524759,-0.498
1,0,2005,665436796371,665436796371,-0.48
1,0,2006,735985698219,735985698219,-0.464
1,0,2007,845783029076,845783029076,-0.492
1,0,2008,894113323737,894113323737,-0.433
1,0,2009,763646727167,763646727167,-0.459
1,0,2010,874783036561,874783036561,-0.496
1,0,2011,1029358880204,1029358880204,-0.508
1,0,2012,1036178292811,1036178292811,-0.45
1,0,2013,1115051914152,1115051914152,-0.437
1,0,2014,1169345424092,1169345424092,-0.404
1,0,2015,1105294492872,1105294492872,-0.406
1,0,2016,1073547635774,1073547635774,-0.39
1,0,2017,1124272033714,1124272033714,-0.35
1,0,2018,1186254509190,1186254509190,-0.327
1,0,2019,1191751822579,1191751822579,-0.387
1,0,2020,1129453288744,1129453288744,-0.368
1,0,2021,1321386167076,1321386167076,-0.338
1,0,2022,1399442903962,1399442903962,-0.35
1,0,2023,1301315435558,1301315435558,-0.299
1,0,2024,1309036137403,1309036137403,-0.245
2,1,1988,410758909955,410758909955,
2,1,1989,427717803272,427717803272,
2,1,1990,474246207547,474246207547,
2,1,1991,487417092740,487417092740,
2,1,1992,540224400337,540224400337,
2,1,1995,695444301356,695444301356,-0.746
2,1,1996,703140500466,703140500466,-0.791
2,1,1997,692846599513,692846599513,-0.761
2,1,1998,669337930662,669337930662,-0.734
2,1,1999,658465280809,658465280809,-0.729
2,1,2000,673316686660,673316686660,-0.734
2,1,2001,674918651409,674918651409,-0.74
2,1,2002,711786533546,711786533546,-0.725
2,1,2003,820619181318,820619181318,-0.703
2,1,2004,936120938628,936120938628,-0.709
2,1,2005,1006102453501,1006102453501,-0.694
2,1,2006,1100863663058,1100863663058,-0.681
2,1,2007,1311616388303,1311616388303,-0.67
2,1,2008,1522925848650,1522925848650,-0.663
2,1,2009,1320132640370,1320132640370,-0.651
2,1,2010,1501679128318,1501679128318,-0.63
2,1,2011,1811127628256,1811127628256,-0.648
2,1,2012,1802643551183,1802643551183,-0.623
2,1,2013,1898953305277,1898953305277,-0.639
2,1,2014,1946369431923,1946369431923,-0.65
2,1,2015,1755575246096,1755575246096,-0.663
2,1,2016,1762572183018,1762572183018,-0.673
2,1,2017,1879583934898,1879583934898,-0.681
2,1,2018,1991007212209,1991007212209,-0.681
2,1,2019,1968607473934,1968607473934,-0.696
2,1,2020,1973816335372,1973816335372,-0.699
2,1,2021,2339846782402,2339846782402,-0.685
2,1,2022,2539778766478,2539778766478,-0.676
2,1,2023,2480344214984,2480344214984,-0.656
2,1,2024,2500975012924,2500975012924,-0.645
3,2,1988,85238455116,85238455116,
3,2,1989,91635407907,91635407907,
3,2,1990,102461294886,102461294886,
3,2,1991,104429664502,104429664502,
3,2,1992,113703725042,113703725042,
3,2,1995,149945178099,149945178099,0.121
3,2,1996,157451619912,157451619912,0.126
3,2,1997,162923251374,162923251374,0.124
3,2,1998,160607058398,160607058398,0.125
3,2,1999,162514422544,162514422544,0.177
3,2,2000,190204890062,190204890062,0.246
3,2,2001,179477663947,179477663947,0.174
3,2,2002,191169621898,191169621898,0.156
3,2,2003,216494355348,216494355348,0.198
3,2,2004,260785707830,260785707830,0.233
3,2,2005,290638585640,290638585640,0.216
3,2,2006,337618303909,337618303909,0.234
3,2,2007,411957237677,411957237677,0.254
3,2,2008,487487783832,487487783832,0.213
3,2,2009,413762993860,413762993860,0.294
3,2,2010,533935475746,533935475746,0.276
3,2,2011,717730243635,717730243635,0.286
3,2,2012,843287495568,843287495568,0.296
3,2,2013,941097808554,941097808554,0.266
3,2,2014,815769551100,815769551100,0.27
3,2,2015,747926980248,747926980248,0.298
3,2,2016,744099528600,744099528600,0.265
3,2,2017,742982725400,742982725400,0.249
3,2,2018,751629568621,751629568621,0.307
3,2,2019,769782204014,769782204014,0.236
3,2,2020,820854549419,820854549419,0.208
3,2,2021,975309897302,975309897302,0.194
3,2,2022,1045239604197,1045239604197,0.181
3,2,2023,1041143798390,1041143798390,0.169
3,2,2024,1049686092984,1049686092984,0.177
4,3,1988,218840237530,218840237530,
4,3,1989,264077011503,264077011503,
4,3,1990,337434978488,337434978488,
4,3,1991,324377217075,324377217075,
4,3,1992,346340236411,346340236411,
4,3,1995,376923727227,376923727227,-0.512
4,3,1996,433749653719,433749653719,-0.461
4,3,1997,447689043849,447689043849,-0.49
4,3,1998,327987928992,327987928992,-0.46
4,3,1999,397906592647,397906592647,-0.492
4,3,2000,607569333432,607569333432,-0.552
4,3,2001,552151383388,552151383388,-0.654
4,3,2002,553634977148,553634977148,-0.65
4,3,2003,686923010050,686923010050,-0.682
4,3,2004,925240507998,925240507998,-0.705
4,3,2005,1301641806593,1301641806593,-0.731
4,3,2006,1599137445320,1599137445320,-0.778
4,3,2007,1819471600057,1819471600057,-0.818
4,3,2008,2540550963888,2540550963888,-0.877
4,3,2009,1651732322089,1651732322089,-0.918
4,3,2010,2176195686877,2176195686877,-0.969
4,3,2011,3007221514522,3007221514522,-0.932
4,3,2012,3068575364907,3068575364907,-1.01
4,3,2013,2922241766413,2922241766413,-1.018
4,3,2014,2799370718103,2799370718103,-1.028
4,3,2015,1655217618426,1655217618426,-1.01
4,3,2016,1441501843445,1441501843445,-1.019
4,3,2017,1846041101978,1846041101978,-1.034
4,3,2018,2296610235562,2296610235562,-1.081
4,3,2019,2135151641818,2135151641818,-1.027
4,3,2020,1534334295020,1534334295020,-0.983
4,3,2021,2445466708180,2445466708180,-1.089
4,3,2022,3579629746310,3579629746310,-1.104
4,3,2023,2994707613901,2994707613901,-1.178
4,3,2024,2819383213422,2819383213422,-1.279
5,4,1988,202623330642,202623330642,
5,4,1989,227238829836,227238829836,
5,4,1990,240151613668,240151613668,
5,4,1991,239017384426,239017384426,
5,4,1992,256203934504,256203934504,
5,4,1995,367448471258,367448471258,0.33
5,4,1996,348236134027,348236134027,0.374
5,4,1997,361870232245,361870232245,0.39
5,4,1998,351432381969,351432381969,0.394
5,4,1999,331583153583,331583153583,0.375
5,4,2000,377009617140,377009617140,0.357
5,4,2001,357214660089,357214660089,0.36
5,4,2002,378896276168,378896276168,0.365
5,4,2003,453910939434,453910939434,0.366
5,4,2004,630054800715,630054800715,0.359
5,4,2005,723348406571,723348406571,0.35
5,4,2006,917744287751,917744287751,0.345
5,4,2007,1138804146177,1138804146177,0.303
5,4,2008,1269544778648,1269544778648,0.322
5,4,2009,806925319162,806925319162,0.337
5,4,2010,1050277227600,1050277227600,0.332
5,4,2011,1269190091628,1269190091628,0.358
5,4,2012,1187339552401,1187339552401,0.312
5,4,2013,1159884775715,1159884775715,0.325
5,4,2014,1200427583206,1200427583206,0.29
5,4,2015,1028043393396,1028043393396,0.287
5,4,2016,953851561650,953851561650,0.29
5,4,2017,1098861027235,1098861027235,0.293
5,4,2018,1223506589744,1223506589744,0.274
