t,i,j,k,v,q
2017,156,643,81020,30.528,27.681
2017,156,643,81040,206.51,43.484
2017,156,643,81050,2338.408,1858.295
2017,156,643,81060,0.789,0.184
2017,156,643,81070,4200.814,2969.897
2017,156,643,81090,622.791,284.638
2017,156,643,81110,10355.68,9189.285
2017,156,643,81120,5301.589,4838.837
2017,156,643,81190,11150.338,9649.254
2017,156,643,81310,4.153,0.15
2017,156,643,81330,925.936,698.306
2017,156,643,81340,1351.894,175.026
2017,156,643,81350,148.918,5.443
2017,156,643,81400,158.768,67.425
2017,156,643,90111,7531.695,2580.331
2017,156,643,90121,14.491,1.113
2017,156,643,90122,42.03,10.033
2017,156,643,90210,1326.868,169.603
2017,156,643,90220,29603.446,11178.374
2017,156,643,90230,673.399,126.023
2017,156,643,90240,8009.802,3032.233
2017,156,643,90411,26.054,8.904
2017,156,643,90412,178.853,143.971
2017,156,643,90421,112.559,49.132
2017,156,643,90422,5163.977,2785.118
2017,156,643,90611,2.524,0.396
2017,156,643,90619,1.532,0.509
2017,156,643,90620,1.624,0.51
2017,156,643,90812,0.023,0.004
2017,156,643,90831,2.283,0.389
2017,156,643,90921,1.827,0.931
2017,156,643,90922,18.21,7.893
2017,156,643,90931,15.83,4.907
2017,156,643,90932,0.654,0.204
2017,156,643,90961,47.514,9.849
2017,156,643,90962,22.117,5.302
2017,156,643,91011,17126.776,9276.46
2017,156,643,91012,160.364,30.115
2017,156,643,91091,10.569,2.115
2017,156,643,91099,36.053,14.253
2017,156,643,100199,0.023,0.004
2017,156,643,100590,20.289,103.0
2017,156,643,100610,11.515,37.85
2017,156,643,100630,2477.542,4160.488
2017,156,643,100829,28.878,18.63
2017,156,643,100890,16.512,18.63
2017,156,643,110290,31.131,49.605
2017,156,643,110319,1.171,0.12
2017,156,643,110429,24.602,79.664
2017,156,643,110630,20.652,3.829
2017,156,643,110710,17.25,25.0
2017,156,643,110720,17.25,25.0
2017,156,643,110811,32.732,41.877
2017,156,643,110812,110.955,181.341
2017,156,643,110813,190.161,284.867
2017,156,643,110819,56.455,3.717
2017,156,643,110900,68.613,66.161
2017,156,643,120110,19.862,42.6
2017,156,643,120190,588.137,1279.754
2017,156,643,120241,1530.395,961.523
2017,156,643,120242,11609.717,7401.606
2017,156,643,120600,393.987,375.869
2017,156,643,120730,1.626,0.304
2017,156,643,120740,1.09,0.453
2017,156,643,120750,0.582,0.15
2017,156,643,120770,6.177,0.095
2017,156,643,120791,608.604,384.5
2017,156,643,120799,12800.33,6701.923
2017,156,643,120890,1.806,0.1
2017,156,643,120930,73.772,2.469
2017,156,643,120991,3259.865,45.678
2017,156,643,120999,360.014,2.73
2017,156,643,121010,144.808,71.851
2017,156,643,121120,100.772,4.45
2017,156,643,121190,915.924,311.527
2017,156,643,121221,5773.993,2652.541
2017,156,643,121229,539.897,185.321
2017,156,643,121291,965.197,1944.44
2017,156,643,121299,9122.465,705.034
2017,156,643,121490,0.665,0.835
2017,156,643,130190,1792.356,489.562
2017,156,643,130212,435.515,36.185
2017,156,643,130213,10.208,0.22
2017,156,643,130219,6006.668,102.279
2017,156,643,130220,10661.299,845.914
2017,156,643,130231,11641.518,789.82
2017,156,643,130232,215.556,35.432
2017,156,643,130239,18375.207,1550.634
2017,156,643,140110,542.324,951.17
2017,156,643,140120,0.839,0.406
2017,156,643,140190,22.675,2.414
2017,156,643,140490,264.527,125.501
2017,156,643,150420,55.685,6.664
2017,156,643,150500,805.945,128.512
2017,156,643,150710,1.359,0.661
2017,156,643,150790,0.525,0.52
2017,156,643,150810,1.67,0.4
2017,156,643,150890,39.206,16.026
2017,156,643,151419,1.871,1.32
2017,156,643,151491,1.464,1.039
