Section ID,Section,HS4 ID,HS4,Year,Russia's Exports,China's Exports,PCI
16,Machines,8481,Valves,2018,5135206.0,580032652.0,1.06
6,Chemical Products,2907,Phenols,2018,4820436.0,6129213.0,1.11
16,Machines,8544,Insulated Wire,2018,4799109.0,248122579.0,-0.31
2,Vegetable Products,1005,Corn,2018,4507790.0,36956.0,-1.21
6,Chemical Products,2816,Magnesium Hydroxide and Peroxide,2018,4498134.0,78614.0,
16,Machines,8482,Ball Bearings,2018,4484810.0,39578113.0,1.0
16,Machines,8501,Electric Motors,2018,4446660.0,220221617.0,0.53
9,Wood Products,4401,Fuel Wood,2018,4211112.0,145498.0,-0.54
9,Wood Products,4410,Particle Board,2018,4150320.0,2377079.0,0.02
18,Instruments,9018,Medical Instruments,2018,4131068.0,229386940.0,0.75
1,Animal Products,308,"Aquatic invertebrates, other than crustaceans and molluscs",2018,4102543.0,251514.0,
16,Machines,8514,Electric Furnaces,2018,4093691.0,25141206.0,0.96
4,Foodstuffs,2302,Bran,2018,4086133.0,52640.0,-1.81
4,Foodstuffs,2105,Ice Cream,2018,4065628.0,107733.0,-0.33
20,Miscellaneous,9403,Other Furniture,2018,4049994.0,157553765.0,-0.07
4,Foodstuffs,2106,Other Edible Preparations,2018,4043314.0,39918045.0,-0.21
6,Chemical Products,3304,Beauty Products,2018,3981656.0,40982431.0,0.4
15,Metals,7505,Nickel Bars,2018,3965166.0,4271709.0,1.19
18,Instruments,9030,Oscilloscopes,2018,3519429.0,23420091.0,0.91
14,Precious Metals,7106,Silver,2018,3448264.0,666610.0,0.04
16,Machines,8471,Computers,2018,3398826.0,3128895682.0,0.5
6,Chemical Products,2804,Hydrogen,2018,3325561.0,16501850.0,0.14
4,Foodstuffs,1605,Processed Crustaceans,2018,3280201.0,39769558.0,-1.47
19,Weapons,9306,Explosive Ammunition,2018,3264387.0,221587.0,-0.02
16,Machines,8412,Other Engines,2018,3190812.0,52847336.0,0.75
16,Machines,8406,Steam Turbines,2018,3147407.0,4130966.0,0.77
4,Foodstuffs,2208,Hard Liquor,2018,3068494.0,3265117.0,-1.01
6,Chemical Products,3806,Rosin,2018,2994343.0,986263.0,-0.21
6,Chemical Products,2825,Inorganic Salts,2018,2961501.0,18116476.0,-0.18
3,Animal and Vegetable Bi-Products,1517,Margarine,2018,2949027.0,464887.0,-1.04
15,Metals,8112,Other Metals,2018,2897612.0,5946357.0,0.54
20,Miscellaneous,9405,Light Fixtures,2018,2868398.0,506797091.0,0.1
16,Machines,8479,Machinery Having Individual Functions,2018,2863314.0,176872744.0,1.02
6,Chemical Products,3819,Hydraulic Brake Fluid,2018,2759020.0,20160.0,-0.09
9,Wood Products,4418,Wood Carpentry,2018,2699522.0,2752343.0,0.01
1,Animal Products,304,Fish Fillets,2018,2692105.0,59827106.0,-1.33
16,Machines,8504,Electrical Transformers,2018,2690294.0,436290057.0,0.01
10,Paper Goods,4805,Other Uncoated Paper,2018,2638928.0,5646710.0,0.0
15,Metals,7504,Nickel Powder,2018,2611138.0,59828.0,-0.06
16,Machines,8414,Air Pumps,2018,2556309.0,301940332.0,0.67
2,Vegetable Products,1212,"Locust beans, seaweed, sugar beet, cane, for food",2018,2504175.0,19992840.0,-2.29
1,Animal Products,409,Honey,2018,2395989.0,57330.0,-1.21
18,Instruments,9001,Optical Fibers and optical fibre bundles,2018,2386333.0,27770468.0,1.01
3,Animal and Vegetable Bi-Products,1515,Other Pure Vegetable Oils,2018,2351759.0,1499297.0,-0.96
5,Mineral Products,2615,"Niobium, Tantalum, Vanadium and Zirconium Ore",2018,2348668.0,30004.0,-2.43
2,Vegetable Products,1206,Sunflower Seeds,2018,2321229.0,1756071.0,-0.38
1,Animal Products,106,Other Animals,2018,2223828.0,121918.0,-1.54
6,Chemical Products,3824,Prepr binder for foundry,2018,2185003.0,100324654.0,
4,Foodstuffs,2201,Water,2018,2164634.0,305128.0,-0.9
16,Machines,8421,Centrifuges,2018,2160796.0,217869047.0,0.99
6,Chemical Products,2845,Other Isotopes,2018,2016375.0,748.0,
16,Machines,8419,Other Heating Machinery,2018,1883288.0,188323105.0,0.8
15,Metals,7205,Iron Powder,2018,1867815.0,1098031.0,0.7
6,Chemical Products,2931,Other Organo-Inorganic Compounds,2018,1864380.0,51596029.0,1.33
16,Machines,8462,Forging Machines,2018,1824148.0,59211149.0,1.18
17,Transportation,8705,Special purpose motor vehicles,2018,1819176.0,30962988.0,-0.11
6,Chemical Products,3805,Turpentine,2018,1815881.0,163.0,
6,Chemical Products,3306,Dental Products,2018,1773428.0,61228077.0,-0.13
6,Chemical Products,3801,Artificial Graphite,2018,1755430.0,4992752.0,1.19
16,Machines,8424,Liquid Dispersing Machines,2018,1716459.0,112128665.0,1.05
16,Machines,8516,Electric Heaters,2018,1678699.0,694050739.0,0.31
9,Wood Products,4402,Wood Charcoal,2018,1665759.0,79539.0,-1.95
7,Plastics and Rubbers,3904,Vinyl Chloride Polymers,2018,1638742.0,24259184.0,0.53
10,Paper Goods,4802,Uncoated Paper,2018,1619990.0,6215513.0,0.47
15,Metals,7318,Iron Fasteners,2018,1601878.0,343438515.0,1.25
16,Machines,8515,Electric Soldering Equipment,2018,1597966.0,133841747.0,1.36
1,Animal Products,511,Other Inedible Animal Products,2018,1593344.0,46144.0,-0.61
15,Metals,7326,Other Iron Products,2018,1575513.0,146911317.0,-0.15
16,Machines,8535,High-voltage Protection Equipment,2018,1568056.0,11995091.0,0.84
4,Foodstuffs,1901,Malt Extract,2018,1556419.0,666326.0,-0.19
16,Machines,8486,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays",2018,1494414.0,12538315.0,
4,Foodstuffs,2204,Wine,2018,1479141.0,9790.0,-0.68
6,Chemical Products,2923,Quaternary Ammonium Salts and Hydroxides,2018,1479110.0,17048883.0,0.65
7,Plastics and Rubbers,3923,Plastic Lids,2018,1420587.0,64074240.0,-0.29
13,Stone And Glass,6807,Asphalt,2018,1312070.0,194078.0,-0.08
14,Precious Metals,7102,Diamonds,2018,1309843.0,351621.0,-1.61
18,Instruments,9027,Chemical Analysis Instruments,2018,1269003.0,32807725.0,1.59
6,Chemical Products,3002,"Vaccines, blood, antisera, toxins and cultures",2018,1219979.0,15623095.0,0.54
8,Animal Hides,4104,Tanned Equine and Bovine Hides,2018,1211686.0,2247.0,-1.13
16,Machines,8502,Electric Generating Sets,2018,1200288.0,126963734.0,-0.13
10,Paper Goods,4906,Architectural Plans,2018,1195000.0,199602.0,
7,Plastics and Rubbers,4016,Other Rubber Products,2018,1169980.0,70703381.0,0.5
16,Machines,8473,Office Machine Parts,2018,1157179.0,357639328.0,0.8
13,Stone And Glass,6907,Unglazed Ceramics,2018,1116834.0,32105755.0,-0.49
18,Instruments,9022,X-Ray Equipment,2018,1115980.0,26027148.0,1.52
6,Chemical Products,2901,Acyclic Hydrocarbons,2018,1109288.0,548935.0,0.35
6,Chemical Products,3804,Wood Pulp Lyes,2018,1107556.0,40347.0,
7,Plastics and Rubbers,3903,Styrene Polymers,2018,1106713.0,12907036.0,0.94
15,Metals,7226,Flat-Rolled Iron,2018,1101948.0,1286196.0,1.42
16,Machines,8539,Electric Filament,2018,1096995.0,249652426.0,0.63
4,Foodstuffs,1904,Prepared Cereals,2018,1070206.0,723739.0,-0.54
16,Machines,8526,Navigation Equipment,2018,1068075.0,24942188.0,0.74
10,Paper Goods,4902,Newspapers,2018,1065355.0,98791.0,0.68
16,Machines,8537,Electrical Control Boards,2018,1057950.0,179566825.0,0.27
16,Machines,8531,Audio Alarms,2018,1055034.0,69451713.0,0.59
15,Metals,7616,Other Aluminium Products,2018,1018771.0,157613064.0,0.58
15,Metals,7307,Iron Pipe Fittings,2018,1002328.0,117418367.0,0.79
18,Instruments,9015,Surveying Equipment,2018,991829.0,32078597.0,0.43
16,Machines,8525,Broadcasting Equipment,2018,942708.0,242114993.0,0.08
2,Vegetable Products,1207,Other Oily Seeds,2018,901151.0,19699028.0,-2.39
11,Textiles,5205,Non-Retail Pure Cotton Yarn,2018,887369.0,2117380.0,-1.52
16,Machines,8431,Excavation Machinery,2018,876296.0,228756488.0,0.5
6,Chemical Products,3305,Hair Products,2018,853785.0,4303419.0,0.19
16,Machines,8474,Stone Processing Machines,2018,844952.0,150971426.0,-0.32
18,Instruments,9012,Non-optical Microscopes,2018,830204.0,7372.0,1.48
15,Metals,7216,Iron Blocks,2018,825564.0,6249112.0,-0.35
15,Metals,7304,Iron Pipes,2018,818680.0,165143358.0,0.39
6,Chemical Products,2903,Halogenated Hydrocarbons,2018,796145.0,49255614.0,0.81
13,Stone And Glass,7014,Signaling Glassware,2018,793554.0,251207.0,0.95
16,Machines,8436,Other Agricultural Machinery,2018,787585.0,25108889.0,0.7
10,Paper Goods,4810,Kaolin Coated Paper,2018,777210.0,131599783.0,0.81
13,Stone And Glass,6806,Rock Wool,2018,770257.0,6408529.0,1.01
15,Metals,7508,Other Nickel Products,2018,747528.0,1489103.0,0.53
9,Wood Products,4404,Wood Stakes,2018,745090.0,934.0,
21,Arts and Antiques,9705,Collector's Items,2018,730181.0,799.0,-1.0
15,Metals,7507,Nickel Pipes,2018,703850.0,1225718.0,1.14
4,Foodstuffs,2101,Coffee and Tea Extracts,2018,694551.0,3006649.0,-0.73
16,Machines,8433,Harvesting Machinery,2018,693514.0,39713875.0,0.65
7,Plastics and Rubbers,3916,Monofilament,2018,686446.0,18163782.0,0.25
13,Stone And Glass,7013,Interior Decorative Glassware,2018,669139.0,66328463.0,0.19
20,Miscellaneous,9406,Prefabricated Buildings,2018,666708.0,43988328.0,-0.35
5,Mineral Products,2703,Peat,2018,635248.0,788.0,-0.28
15,Metals,8101,Tungsten,2018,633837.0,5593246.0,
17,Transportation,8708,Motor Vehicles; parts & accessories,2018,630468.0,980107211.0,0.96
16,Machines,8402,Steam Boilers,2018,626004.0,7197920.0,0.51
6,Chemical Products,2920,Other Esters,2018,622906.0,3899303.0,1.28
15,Metals,7225,Flat Flat-Rolled Steel,2018,614294.0,1706295.0,1.11
9,Wood Products,4413,Densified Wood,2018,606449.0,8016.0,
2,Vegetable Products,711,Preserved Vegetables,2018,597901.0,97818.0,
16,Machines,8443,Industrial Printers,2018,584301.0,306171325.0,0.73
15,Metals,7214,Raw Iron Bars,2018,572497.0,131959.0,-0.96
16,Machines,8538,Electrical Power Accessories,2018,565493.0,42760966.0,0.59
14,Precious Metals,7115,Other Precious Metal Products,2018,554142.0,15115.0,-0.03
16,Machines,8527,Radio Receivers,2018,548470.0,93744700.0,0.07
6,Chemical Products,2803,Carbon,2018,547424.0,375337.0,0.2
4,Foodstuffs,1604,Processed Fish,2018,536489.0,111577003.0,-0.85
4,Foodstuffs,2008,Other Processed Fruits and Nuts,2018,535879.0,42095282.0,-1.0
1,Animal Products,305,Dried/Salted/Smoked/Brined Fish,2018,527878.0,27903258.0,-0.82
4,Foodstuffs,2009,Fruit Juice,2018,525976.0,68546010.0,-0.92
16,Machines,8511,Electrical Ignitions,2018,522807.0,62337938.0,0.68
6,Chemical Products,3403,Lubricating Products,2018,501607.0,2883036.0,1.34
15,Metals,7310,Small Iron Containers,2018,489319.0,14419476.0,-0.19
16,Machines,8503,Electric Motor Parts,2018,489262.0,31721752.0,0.51
2,Vegetable Products,1006,Rice,2018,486122.0,2841377.0,-1.96
15,Metals,7306,Other Small Iron Pipes,2018,481206.0,60288367.0,-0.12
16,Machines,8467,Motor-working Tools,2018,479449.0,479223916.0,1.26
6,Chemical Products,3212,Nonaqueous Pigments,2018,473323.0,2908328.0,1.02
11,Textiles,6302,House Linens,2018,460953.0,141905142.0,-1.44
5,Mineral Products,2501,Salt,2018,455148.0,857699.0,-1.32
16,Machines,8450,Household Washing Machines,2018,448188.0,110142281.0,-0.07
11,Textiles,5501,Synthetic Filament Tow,2018,442443.0,7924.0,0.18
11,Textiles,5402,Non-Retail Synthetic Filament Yarn,2018,439361.0,57714711.0,0.09
16,Machines,8417,Industrial Furnaces,2018,432749.0,14349032.0,0.62
6,Chemical Products,3213,Artistry Paints,2018,432201.0,7377405.0,
2,Vegetable Products,902,Tea,2018,431297.0,43002810.0,-1.69
18,Instruments,9002,Mirrors and Lenses,2018,421120.0,9459036.0,0.51
7,Plastics and Rubbers,3926,Other Plastic Products,2018,417065.0,285863985.0,-0.23
15,Metals,8302,Metal Mountings,2018,413577.0,307848451.0,0.75
9,Wood Products,4409,Shaped Wood,2018,409193.0,1739730.0,-0.79
10,Paper Goods,4911,Other Printed Material,2018,401064.0,15640680.0,0.47
6,Chemical Products,3402,Cleaning Products,2018,397804.0,28916554.0,0.16
6,Chemical Products,3401,Soap,2018,393541.0,6742117.0,-1.24
1,Animal Products,402,Concentrated Milk,2018,391990.0,2357.0,-0.95
15,Metals,7308,Iron Structures,2018,390129.0,146029311.0,-0.04
16,Machines,8407,Spark-Ignition Engines,2018,379425.0,466177572.0,0.68
7,Plastics and Rubbers,4009,Rubber Pipes,2018,373998.0,46659157.0,0.68
11,Textiles,5902,Polyamide Fabric,2018,372364.0,18412512.0,0.19
18,Instruments,9021,Orthopedic Appliances,2018,371422.0,14516359.0,0.84
10,Paper Goods,4806,Vegetable Parchment,2018,367123.0,164375.0,1.03
16,Machines,8425,Pulley Systems,2018,365673.0,83672131.0,0.58
17,Transportation,8606,Railway Freight Cars,2018,364944.0,405399.0,-0.32
2,Vegetable Products,1211,Perfume Plants,2018,359904.0,1111201.0,-1.05
19,Weapons,9303,Other Firearms,2018,357823.0,51738.0,0.35
16,Machines,8409,Engine Parts,2018,356057.0,113922815.0,0.55
11,Textiles,5502,Artificial Filament Tow,2018,351141.0,2175425.0,1.12
2,Vegetable Products,1404,Other Vegetable Products,2018,348556.0,498601.0,-1.8
16,Machines,8415,Air Conditioners,2018,330877.0,412077174.0,0.35
11,Textiles,5608,"Twine, cordage or rope; knotted netting, made up fishing nets and other made up nets, of textile materials",2018,325776.0,6228059.0,-0.81
11,Textiles,5503,Unprocessed Synthetic Staple Fibers,2018,322198.0,49033661.0,0.57
6,Chemical Products,2819,Chromium Oxides and Hydroxides,2018,315200.0,303724.0,
4,Foodstuffs,1902,Pasta,2018,307308.0,20610849.0,-0.82
13,Stone And Glass,7018,Glass Beads,2018,306116.0,3467689.0,0.25
16,Machines,8528,Video Displays,2018,305432.0,692092624.0,-0.21
17,Transportation,8704,Delivery Trucks,2018,300366.0,109397425.0,-0.07
2,Vegetable Products,1302,Vegetable Saps,2018,299214.0,58916844.0,-0.55
6,Chemical Products,2939,Vegetable Alkaloids,2018,296821.0,1825408.0,0.55
5,Mineral Products,2610,Chromium Ore,2018,292549.0,14330.0,-2.67
15,Metals,8107,Cadmium,2018,292197.0,2012.0,
7,Plastics and Rubbers,3910,Silicone,2018,291223.0,39772412.0,1.61
4,Foodstuffs,2007,Jams,2018,289181.0,3463606.0,-0.81
15,Metals,7312,Stranded Iron Wire,2018,286100.0,21173267.0,-0.11
15,Metals,7228,Other Steel Bars,2018,282373.0,7115551.0,0.57
5,Mineral Products,2506,Quartz,2018,282291.0,767607.0,
18,Instruments,9025,Hydrometers,2018,280343.0,25265980.0,0.8
10,Paper Goods,4814,Wallpaper,2018,276811.0,8744286.0,0.44
2,Vegetable Products,1104,Processed Cereals,2018,274264.0,174549.0,-0.46
16,Machines,8438,Industrial Food Preperation Machinery,2018,272697.0,37051003.0,0.29
16,Machines,8468,Soldering and Welding Machinery,2018,269350.0,6052469.0,
15,Metals,8102,Molybdenum,2018,266577.0,9081749.0,
6,Chemical Products,2917,Polycarboxylic Acids,2018,266280.0,154944453.0,0.65
5,Mineral Products,2515,"Marble, Travertine and Alabaster",2018,264142.0,86057.0,-1.24
16,Machines,8429,Large Construction Vehicles,2018,262344.0,437806791.0,-0.47
4,Foodstuffs,2005,Other Processed Vegetables,2018,255723.0,27721679.0,-0.65
6,Chemical Products,3207,Prepared Pigments,2018,244616.0,1151923.0,0.37
15,Metals,7320,Iron Springs,2018,239727.0,13256193.0,0.75
15,Metals,7222,Other Stainless Steel Bars,2018,233255.0,2232440.0,0.87
18,Instruments,9020,Breathing Appliances,2018,230915.0,1434681.0,0.62
9,Wood Products,4420,Wood Ornaments,2018,230834.0,4933222.0,-1.18
18,Instruments,9106,Time Recording Instruments,2018,226472.0,533290.0,
11,Textiles,6112,Knit Active Wear,2018,223217.0,51590589.0,-1.5
16,Machines,8484,Gaskets,2018,221475.0,14584407.0,1.02
18,Instruments,9011,Microscopes,2018,219000.0,7176001.0,1.06
7,Plastics and Rubbers,3917,Plastic Pipes,2018,216619.0,90900470.0,0.05
7,Plastics and Rubbers,3920,Raw Plastic Sheeting,2018,215827.0,218035727.0,0.7
18,Instruments,9017,Drafting Tools,2018,215560.0,30362771.0,1.44
16,Machines,8546,Electrical Insulators,2018,214712.0,9042325.0,0.52
9,Wood Products,4411,Wood Fiberboard,2018,210617.0,51459591.0,-0.06
11,Textiles,6203,Non-Knit Men's Suits,2018,208089.0,171038526.0,-1.56
4,Foodstuffs,2103,Sauces and Seasonings,2018,207152.0,18623126.0,-0.22
15,Metals,8301,Padlocks,2018,207039.0,81524765.0,0.64
6,Chemical Products,3822,Laboratory Reagents,2018,205342.0,6749394.0,0.77
17,Transportation,8608,Railway Track Fixtures,2018,200279.0,1074078.0,0.31
15,Metals,7223,Stainless Steel Wire,2018,198789.0,3885979.0,1.01
4,Foodstuffs,1702,Other Sugars,2018,198366.0,23330164.0,-0.09
11,Textiles,6304,Bedspreads,2018,194680.0,15617286.0,-1.3
16,Machines,8477,Rubberworking Machinery,2018,191608.0,120452787.0,1.21
15,Metals,7322,Iron Radiators,2018,191053.0,22362829.0,0.66
16,Machines,8519,Sound Recording Equipment,2018,186939.0,16667069.0,0.08
6,Chemical Products,3214,Glaziers Putty,2018,183964.0,6281116.0,0.22
8,Animal Hides,4302,Tanned Furskins,2018,183217.0,5909952.0,-0.3
13,Stone And Glass,7019,Glass Fibers,2018,181703.0,57879524.0,0.65
20,Miscellaneous,9401,Seats,2018,181134.0,200418286.0,0.2
5,Mineral Products,2505,Sand,2018,180472.0,139303.0,-1.0
21,Arts and Antiques,9704,Revenue Stamps,2018,174091.0,529.0,
20,Miscellaneous,9602,Vegetable and Mineral Carvings,2018,171958.0,1850378.0,-0.33
16,Machines,8480,Metal Molds,2018,171253.0,97904377.0,0.83
6,Chemical Products,2805,"Alkali, alkaline-earth, rare-earth metals, scandium, yttrium, and mercury",2018,168365.0,10499888.0,
15,Metals,7219,Large Flat-Rolled Stainless Steel,2018,167879.0,284388217.0,0.92
15,Metals,8208,Cutting Blades,2018,167572.0,9734957.0,1.32
2,Vegetable Products,1214,Forage Crops,2018,165444.0,2831.0,-1.3
4,Foodstuffs,2206,Other Fermented Beverages,2018,162680.0,43540.0,0.06
17,Transportation,8711,Motorcycles and cycles,2018,162073.0,82504843.0,0.62
6,Chemical Products,2836,Carbonates,2018,160010.0,21731292.0,-0.31
6,Chemical Products,2853,Other inorganic compounds,2018,155648.0,512673.0,
15,Metals,7315,Iron Chains,2018,154755.0,41657251.0,0.84
20,Miscellaneous,9508,Fairground Amusements,2018,152812.0,2233131.0,0.69
16,Machines,8521,Video Recording Equipment,2018,148374.0,48544624.0,0.53
18,Instruments,9024,Tensile Testing Machines,2018,148350.0,6887547.0,1.57
16,Machines,8456,Non-Mechanical Removal Machinery,2018,147277.0,45179677.0,1.44
6,Chemical Products,2846,Rare-Earth Metal Compounds,2018,146098.0,5773237.0,0.27
4,Foodstuffs,2001,Pickled Foods,2018,143525.0,12424788.0,-0.69
11,Textiles,5309,Flax Woven Fabric,2018,141536.0,613975.0,0.38
18,Instruments,9102,Base Metal Watches,2018,134923.0,41147392.0,0.36
16,Machines,8460,Metal Finishing Machines,2018,134593.0,16920390.0,1.53
16,Machines,8548,Electrical Parts,2018,134078.0,3580855.0,0.67
6,Chemical Products,3823,"Industrial Fatty Acids, Oils and Alcohols",2018,130264.0,657671.0,0.29
11,Textiles,6305,Packing Bags,2018,130104.0,72024252.0,-2.05
6,Chemical Products,2915,Saturated Acyclic Monocarboxylic Acids,2018,125510.0,40519447.0,0.9
