"Commodity code","Commodity","Trading partner code","Trading partner","Customs Regime code","Customs Regime","Locations of importers and exporters code","Locations of importers and exporters","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"01012900","Live horses, not pure-bred breeding","110","Hong Kong£¬China","39","Other","44","Guangdong Province","47690","Kilogram","93","Number of item","19,121,826",
"01012900","Live horses, not pure-bred breeding","125","Nepal","19","Border Trade","54","Tibet Autonomous Region","200","Kilogram","1","Number of item","1,693",
"01012900","Live horses, not pure-bred breeding","301","Belgium","10","Ordinary Trade","11","Beijing","7600","Kilogram","19","Number of item","1,008,489",
"01022900","Live cattles, not pure-bred breeding","119","Lao","10","Ordinary Trade","53","Yunnan Province","9400","Kilogram","21","Number of item","18,832",
"01029010","Other live pure-bred breeding bovine animals","149","Uzbekistan","10","Ordinary Trade","11","Beijing","43500","Kilogram","87","Number of item","260,300",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","11","Beijing","86305","Kilogram","123","Number of item","394,680",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","15","Inner Mongolia Autonomous Region","111830","Kilogram","160","Number of item","580,499",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","32","Jiangsu Province","111500","Kilogram","179","Number of item","819,860",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","34","Anhui Province","94950","Kilogram","144","Number of item","398,141",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","42","Hubei Province","13900","Kilogram","20","Number of item","70,542",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","8300","Kilogram","13","Number of item","71,500",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","61","Shaanxi Province","80750","Kilogram","134","Number of item","600,737",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","62","Gansu Province","9030","Kilogram","15","Number of item","69,664",
"01029090","Other live bovine animals, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","44","Guangdong Province","39900","Kilogram","48","Number of item","217,473",
"01029090","Other live bovine animals, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","61","Shaanxi Province","27600","Kilogram","35","Number of item","148,655",
"01029090","Other live bovine animals, not pure-bred breeding","124","Mongolia","19","Border Trade","15","Inner Mongolia Autonomous Region","198880","Kilogram","393","Number of item","942,589",
"01031000","Live pure-bred breeding swine","302","Denmark","10","Ordinary Trade","11","Beijing","51000","Kilogram","918","Number of item","2,208,734",
"01031000","Live pure-bred breeding swine","305","France","10","Ordinary Trade","11","Beijing","51199","Kilogram","615","Number of item","1,778,691",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","33","Zhejiang Province","2681157","Kilogram","21989","Number of item","6,902,451",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","35","Fujian Province","11500","Kilogram","100","Number of item","27,028",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","36","Jiangxi Province","647550","Kilogram","5286","Number of item","1,617,010",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","41","Henan Province","986300","Kilogram","7913","Number of item","2,257,771",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","42","Hubei Province","1051750","Kilogram","8344","Number of item","2,441,290",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","43","Hunan Province","195730","Kilogram","1592","Number of item","489,001",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","6258144","Kilogram","50288","Number of item","14,026,776",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","45","Guangxi Zhuang Autonomous Region","221400","Kilogram","1800","Number of item","693,227",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","52","Guizhou Province","21750","Kilogram","200","Number of item","70,000",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","36","Jiangxi Province","25000","Kilogram","200","Number of item","77,224",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","43","Hunan Province","327600","Kilogram","2520","Number of item","947,286",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","44","Guangdong Province","844365","Kilogram","7418","Number of item","2,538,721",
"01041090","Live sheep, not pure-bred breeding","124","Mongolia","19","Border Trade","15","Inner Mongolia Autonomous Region","587820","Kilogram","11800","Number of item","665,134",
"01041090","Live sheep, not pure-bred breeding","125","Nepal","19","Border Trade","54","Tibet Autonomous Region","5040","Kilogram","252","Number of item","42,664",
"01042090","Live goats, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","45","Guangxi Zhuang Autonomous Region","2900","Kilogram","80","Number of item","25,742",
"01042090","Live goats, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","61","Shaanxi Province","3700","Kilogram","110","Number of item","28,315",
"01042090","Live goats, not pure-bred breeding","125","Nepal","19","Border Trade","54","Tibet Autonomous Region","14180","Kilogram","709","Number of item","120,035",
"01051110","Live chicken¡Ü185g for pure-bred breeding","305","France","10","Ordinary Trade","11","Beijing","10077","Kilogram","231255","Number of item","9,530,139",
"01051190","Live chicken¡Ü185g, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","14066","Kilogram","336535","Number of item","205,918",
"01061110","Primates, for pure-bred breeding","107","Cambodia","10","Ordinary Trade","46","Hainan Province","6990","Kilogram","2000","Number of item","15,913,906",
"01061221","Seals,sea lions&walruses, for pure-bred breeding","202","Angola","10","Ordinary Trade","21","Liaoning Province","300","Kilogram","25","Number of item","500,000",
"01061490","Rabbits&hares, not for pure-bred breeding","122","Malaysia","10","Ordinary Trade","37","Shandong Province","50","Kilogram","18","Number of item","6,745",
"01061490","Rabbits&hares, not for pure-bred breeding","132","Singapore","10","Ordinary Trade","37","Shandong Province","82","Kilogram","37","Number of item","13,573",
"01061490","Rabbits&hares, not for pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","32","Jiangsu Province","963","Kilogram","342","Number of item","38,231",
"01061990","Other edible mammals, not pure-bred breeding","107","Cambodia","10","Ordinary Trade","53","Yunnan Province","8","Kilogram","5","Number of item","500",
"01061990","Other edible mammals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","31","Shanghai Province","0","Kilogram","15","Number of item","8,606",
"01061990","Other edible mammals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","32","Jiangsu Province","17","Kilogram","801","Number of item","25,936",
"01061990","Other edible mammals, not pure-bred breeding","110","Hong Kong£¬China","39","Other","44","Guangdong Province","1","Kilogram","28","Number of item","280",
"01061990","Other edible mammals, not pure-bred breeding","111","India","10","Ordinary Trade","32","Jiangsu Province","1","Kilogram","57","Number of item","8,793",
"01061990","Other edible mammals, not pure-bred breeding","115","Israel","10","Ordinary Trade","32","Jiangsu Province","1","Kilogram","44","Number of item","9,072",
"01061990","Other edible mammals, not pure-bred breeding","116","Japan","10","Ordinary Trade","11","Beijing","387","Kilogram","771","Number of item","666,856",
"01061990","Other edible mammals, not pure-bred breeding","116","Japan","10","Ordinary Trade","21","Liaoning Province","140","Kilogram","22","Number of item","1,554",
"01061990","Other edible mammals, not pure-bred breeding","116","Japan","10","Ordinary Trade","31","Shanghai Province","0","Kilogram","10","Number of item","3,000",
"01061990","Other edible mammals, not pure-bred breeding","116","Japan","10","Ordinary Trade","32","Jiangsu Province","71","Kilogram","427","Number of item","188,333",
"01061990","Other edible mammals, not pure-bred breeding","116","Japan","10","Ordinary Trade","37","Shandong Province","492","Kilogram","64","Number of item","12,250",
"01061990","Other edible mammals, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","44","Guangdong Province","147","Kilogram","2030","Number of item","20,485",
"01061990","Other edible mammals, not pure-bred breeding","122","Malaysia","10","Ordinary Trade","21","Liaoning Province","320","Kilogram","151","Number of item","7,039",
"01061990","Other edible mammals, not pure-bred breeding","122","Malaysia","10","Ordinary Trade","37","Shandong Province","18","Kilogram","3","Number of item","500",
"01061990","Other edible mammals, not pure-bred breeding","122","Malaysia","10","Ordinary Trade","53","Yunnan Province","66","Kilogram","34","Number of item","3,400",
"01061990","Other edible mammals, not pure-bred breeding","125","Nepal","10","Ordinary Trade","37","Shandong Province","50","Kilogram","1","Number of item","200",
"01061990","Other edible mammals, not pure-bred breeding","129","Philippines","10","Ordinary Trade","21","Liaoning Province","7","Kilogram","5","Number of item","141",
"01061990","Other edible mammals, not pure-bred breeding","129","Philippines","10","Ordinary Trade","34","Anhui Province","37","Kilogram","3","Number of item","600",
"01061990","Other edible mammals, not pure-bred breeding","129","Philippines","10","Ordinary Trade","37","Shandong Province","119","Kilogram","9","Number of item","1,700",
"01061990","Other edible mammals, not pure-bred breeding","132","Singapore","10","Ordinary Trade","32","Jiangsu Province","0","Kilogram","6","Number of item","180",
"01061990","Other edible mammals, not pure-bred breeding","132","Singapore","10","Ordinary Trade","37","Shandong Province","6","Kilogram","2","Number of item","300",
"01061990","Other edible mammals, not pure-bred breeding","132","Singapore","10","Ordinary Trade","53","Yunnan Province","3","Kilogram","1","Number of item","100",
"01061990","Other edible mammals, not pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","11","Beijing","1212","Kilogram","4004","Number of item","223,148",
"01061990","Other edible mammals, not pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","21","Liaoning Province","494","Kilogram","291","Number of item","14,233",
"01061990","Other edible mammals, not pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","31","Shanghai Province","1","Kilogram","43","Number of item","2,100",
"01061990","Other edible mammals, not pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","32","Jiangsu Province","1142","Kilogram","2259","Number of item","144,075",
"01061990","Other edible mammals, not pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","37","Shandong Province","6","Kilogram","6","Number of item","900",
"01061990","Other edible mammals, not pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","61","Shaanxi Province","8","Kilogram","2","Number of item","1,968",
"01061990","Other edible mammals, not pure-bred breeding","136","Thailand","10","Ordinary Trade","21","Liaoning Province","2","Kilogram","1","Number of item","28",
"01061990","Other edible mammals, not pure-bred breeding","136","Thailand","10","Ordinary Trade","32","Jiangsu Province","1","Kilogram","37","Number of item","1,110",
"01061990","Other edible mammals, not pure-bred breeding","136","Thailand","10","Ordinary Trade","37","Shandong Province","94","Kilogram","2","Number of item","350",
"01061990","Other edible mammals, not pure-bred breeding","136","Thailand","10","Ordinary Trade","53","Yunnan Province","375","Kilogram","90","Number of item","9,000",
"01061990","Other edible mammals, not pure-bred breeding","138","United Arab Emirates","10","Ordinary Trade","21","Liaoning Province","9","Kilogram","4","Number of item","400",
"01061990","Other edible mammals, not pure-bred breeding","138","United Arab Emirates","10","Ordinary Trade","37","Shandong Province","77","Kilogram","7","Number of item","1,090",
"01061990","Other edible mammals, not pure-bred breeding","143","Taiwan£¬China","10","Ordinary Trade","32","Jiangsu Province","3","Kilogram","130","Number of item","16,126",
"01061990","Other edible mammals, not pure-bred breeding","244","South Africa","10","Ordinary Trade","34","Anhui Province","5","Kilogram","1","Number of item","160",
"01061990","Other edible mammals, not pure-bred breeding","244","South Africa","10","Ordinary Trade","37","Shandong Province","3","Kilogram","1","Number of item","110",
"01061990","Other edible mammals, not pure-bred breeding","302","Denmark","10","Ordinary Trade","32","Jiangsu Province","1","Kilogram","71","Number of item","14,515",
"01061990","Other edible mammals, not pure-bred breeding","303","United Kingdom","10","Ordinary Trade","32","Jiangsu Province","1","Kilogram","97","Number of item","51,877",
"01061990","Other edible mammals, not pure-bred breeding","304","Germany","10","Ordinary Trade","11","Beijing","1","Kilogram","10","Number of item","2,412",
"01061990","Other edible mammals, not pure-bred breeding","304","Germany","10","Ordinary Trade","31","Shanghai Province","0","Kilogram","16","Number of item","1,159",
"01061990","Other edible mammals, not pure-bred breeding","304","Germany","10","Ordinary Trade","32","Jiangsu Province","4","Kilogram","150","Number of item","100,118",
"01061990","Other edible mammals, not pure-bred breeding","304","Germany","39","Other","11","Beijing","0","Kilogram","3","Number of item","1,439",
"01061990","Other edible mammals, not pure-bred breeding","304","Germany","39","Other","31","Shanghai Province","1","Kilogram","23","Number of item","6,212",
"01061990","Other edible mammals, not pure-bred breeding","305","France","10","Ordinary Trade","31","Shanghai Province","2","Kilogram","72","Number of item","30,660",
"01061990","Other edible mammals, not pure-bred breeding","305","France","10","Ordinary Trade","32","Jiangsu Province","6","Kilogram","301","Number of item","56,253",
"01061990","Other edible mammals, not pure-bred breeding","307","Italy","10","Ordinary Trade","11","Beijing","0","Kilogram","4","Number of item","4,554",
"01061990","Other edible mammals, not pure-bred breeding","310","Greece","10","Ordinary Trade","32","Jiangsu Province","0","Kilogram","22","Number of item","5,040",
"01061990","Other edible mammals, not pure-bred breeding","312","Spain","10","Ordinary Trade","32","Jiangsu Province","0","Kilogram","6","Number of item","16,597",
"01061990","Other edible mammals, not pure-bred breeding","312","Spain","39","Other","44","Guangdong Province","1","Kilogram","5","Number of item","716",
"01061990","Other edible mammals, not pure-bred breeding","318","Finland","10","Ordinary Trade","32","Jiangsu Province","4","Kilogram","182","Number of item","18,711",
"01061990","Other edible mammals, not pure-bred breeding","330","Sweden","10","Ordinary Trade","32","Jiangsu Province","3","Kilogram","162","Number of item","17,345",
"01061990","Other edible mammals, not pure-bred breeding","331","Switzerland","10","Ordinary Trade","32","Jiangsu Province","2","Kilogram","102","Number of item","38,497",
"01061990","Other edible mammals, not pure-bred breeding","344","Russia","10","Ordinary Trade","32","Jiangsu Province","17","Kilogram","190","Number of item","28,071",
"01061990","Other edible mammals, not pure-bred breeding","352","Czechia£¨Czech Republic£©","10","Ordinary Trade","11","Beijing","1","Kilogram","28","Number of item","420",
"01061990","Other edible mammals, not pure-bred breeding","429","Mexico","10","Ordinary Trade","34","Anhui Province","94","Kilogram","3","Number of item","600",
"01061990","Other edible mammals, not pure-bred breeding","501","Canada","10","Ordinary Trade","11","Beijing","1","Kilogram","47","Number of item","705",
"01061990","Other edible mammals, not pure-bred breeding","501","Canada","10","Ordinary Trade","32","Jiangsu Province","4","Kilogram","216","Number of item","25,730",
"01061990","Other edible mammals, not pure-bred breeding","501","Canada","10","Ordinary Trade","37","Shandong Province","14","Kilogram","4","Number of item","1,900",
"01061990","Other edible mammals, not pure-bred breeding","501","Canada","39","Other","31","Shanghai Province","0","Kilogram","6","Number of item","1,204",
"01061990","Other edible mammals, not pure-bred breeding","502","United States","10","Ordinary Trade","11","Beijing","98","Kilogram","2206","Number of item","298,171",
"01061990","Other edible mammals, not pure-bred breeding","502","United States","10","Ordinary Trade","21","Liaoning Province","3","Kilogram","1","Number of item","100",
"01061990","Other edible mammals, not pure-bred breeding","502","United States","10","Ordinary Trade","31","Shanghai Province","7","Kilogram","255","Number of item","9,575",
"01061990","Other edible mammals, not pure-bred breeding","502","United States","10","Ordinary Trade","32","Jiangsu Province","128","Kilogram","6372","Number of item","774,175",
"01061990","Other edible mammals, not pure-bred breeding","502","United States","10","Ordinary Trade","34","Anhui Province","104","Kilogram","4","Number of item","800",
"01061990","Other edible mammals, not pure-bred breeding","502","United States","10","Ordinary Trade","37","Shandong Province","30","Kilogram","11","Number of item","1,150",
"01061990","Other edible mammals, not pure-bred breeding","502","United States","39","Other","11","Beijing","0","Kilogram","10","Number of item","50",
"01062020","Edible reptiles","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","5219","Kilogram","4829","Number of item","51,640",
"01062020","Edible reptiles","116","Japan","10","Ordinary Trade","32","Jiangsu Province","3000","Kilogram","3300","Number of item","36,000",
"01062020","Edible reptiles","116","Japan","10","Ordinary Trade","33","Zhejiang Province","1106","Kilogram","1124","Number of item","13,792",
"01062020","Edible reptiles","121","Macao,China","10","Ordinary Trade","44","Guangdong Province","880","Kilogram","880","Number of item","5,654",
"01062020","Edible reptiles","133","Republic of Korea","10","Ordinary Trade","33","Zhejiang Province","1000","Kilogram","978","Number of item","19,240",
"01062020","Edible reptiles","138","United Arab Emirates","10","Ordinary Trade","43","Hunan Province","40","Kilogram","36","Number of item","400",
"01062020","Edible reptiles","141","Viet Nam","10","Ordinary Trade","43","Hunan Province","101084","Kilogram","62568","Number of item","712,523",
"01062090","Reptiles, nes","102","Bahrain","10","Ordinary Trade","44","Guangdong Province","87","Kilogram","11000","Number of item","6,034",
"01062090","Reptiles, nes","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","30","Kilogram","1500","Number of item","140",
"01062090","Reptiles, nes","116","Japan","10","Ordinary Trade","33","Zhejiang Province","33","Kilogram","5130","Number of item","12,329",
"01062090","Reptiles, nes","116","Japan","10","Ordinary Trade","44","Guangdong Province","31","Kilogram","84","Number of item","4,082",
"01062090","Reptiles, nes","116","Japan","10","Ordinary Trade","46","Hainan Province","23","Kilogram","400","Number of item","12,219",
"01062090","Reptiles, nes","117","Jordan","10","Ordinary Trade","32","Jiangsu Province","48","Kilogram","4820","Number of item","4,338",
"01062090","Reptiles, nes","117","Jordan","10","Ordinary Trade","44","Guangdong Province","57","Kilogram","5060","Number of item","4,858",
"01062090","Reptiles, nes","118","Kuwait","10","Ordinary Trade","44","Guangdong Province","63","Kilogram","8000","Number of item","5,600",
"01062090","Reptiles, nes","132","Singapore","10","Ordinary Trade","31","Shanghai Province","945","Kilogram","120049","Number of item","20,728",
"01062090","Reptiles, nes","132","Singapore","10","Ordinary Trade","32","Jiangsu Province","140","Kilogram","16200","Number of item","9,720",
"01062090","Reptiles, nes","132","Singapore","10","Ordinary Trade","46","Hainan Province","120","Kilogram","20000","Number of item","5,000",
"01062090","Reptiles, nes","133","Republic of Korea","10","Ordinary Trade","33","Zhejiang Province","42","Kilogram","350","Number of item","4,550",
"01062090","Reptiles, nes","133","Republic of Korea","10","Ordinary Trade","44","Guangdong Province","14","Kilogram","930","Number of item","4,875",
"01062090","Reptiles, nes","143","Taiwan£¬China","10","Ordinary Trade","33","Zhejiang Province","20","Kilogram","1427","Number of item","12,563",
"01062090","Reptiles, nes","150","Georgia","10","Ordinary Trade","32","Jiangsu Province","90","Kilogram","10000","Number of item","4,500",
"01062090","Reptiles, nes","304","Germany","10","Ordinary Trade","44","Guangdong Province","10","Kilogram","20","Number of item","3,474",
"01062090","Reptiles, nes","304","Germany","10","Ordinary Trade","46","Hainan Province","110","Kilogram","17680","Number of item","32,683",
"01062090","Reptiles, nes","307","Italy","10","Ordinary Trade","44","Guangdong Province","92","Kilogram","8100","Number of item","13,501",
"01062090","Reptiles, nes","344","Russia","10","Ordinary Trade","32","Jiangsu Province","79","Kilogram","8768","Number of item","2,104",
"01062090","Reptiles, nes","434","Peru","10","Ordinary Trade","44","Guangdong Province","359","Kilogram","17952","Number of item","35,904",
"01062090","Reptiles, nes","502","United States","10","Ordinary Trade","44","Guangdong Province","76","Kilogram","175","Number of item","24,790",
"01064910","Other insects, for pure-bred breeding","502","United States","10","Ordinary Trade","44","Guangdong Province","9","Kilogram","10200","Number of item","204",
"01064990","Other insects, not for pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","2080","Kilogram","3380000","Number of item","4,589",
"01064990","Other insects, not for pure-bred breeding","116","Japan","10","Ordinary Trade","21","Liaoning Province","7","Kilogram","1776","Number of item","844",
"01064990","Other insects, not for pure-bred breeding","116","Japan","10","Ordinary Trade","31","Shanghai Province","20","Kilogram","24000","Number of item","897",
"01064990","Other insects, not for pure-bred breeding","116","Japan","10","Ordinary Trade","34","Anhui Province","3","Kilogram","500","Number of item","2,257",
"01064990","Other insects, not for pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","21","Liaoning Province","0","Kilogram","708","Number of item","296",
"01064990","Other insects, not for pure-bred breeding","305","France","10","Ordinary Trade","21","Liaoning Province","0","Kilogram","60","Number of item","163",
"01064990","Other insects, not for pure-bred breeding","315","Austria","10","Ordinary Trade","21","Liaoning Province","3","Kilogram","4170","Number of item","1,219",
"01064990","Other insects, not for pure-bred breeding","331","Switzerland","10","Ordinary Trade","21","Liaoning Province","2","Kilogram","318","Number of item","346",
"01064990","Other insects, not for pure-bred breeding","502","United States","10","Ordinary Trade","11","Beijing","2","Kilogram","1735","Number of item","1,673",
"01064990","Other insects, not for pure-bred breeding","502","United States","10","Ordinary Trade","21","Liaoning Province","23","Kilogram","23358","Number of item","18,434",
"01064990","Other insects, not for pure-bred breeding","502","United States","10","Ordinary Trade","31","Shanghai Province","0","Kilogram","195","Number of item","3,625",
"01064990","Other insects, not for pure-bred breeding","502","United States","39","Other","33","Zhejiang Province","0","Kilogram","32","Number of item","438",
"01064990","Other insects, not for pure-bred breeding","502","United States","39","Other","44","Guangdong Province","0","Kilogram","340","Number of item","508",
"01069090","Other live animals, not for pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","23757","Kilogram","137675","Number of item","86,990",
"01069090","Other live animals, not for pure-bred breeding","116","Japan","10","Ordinary Trade","12","Tianjin","1400","Kilogram","2800000","Number of item","21,303",
"01069090","Other live animals, not for pure-bred breeding","116","Japan","10","Ordinary Trade","31","Shanghai Province","351","Kilogram","2436920","Number of item","7,444",
"01069090","Other live animals, not for pure-bred breeding","119","Lao","10","Ordinary Trade","35","Fujian Province","52","Kilogram","8000000","Number of item","2,200",
"01069090","Other live animals, not for pure-bred breeding","119","Lao","10","Ordinary Trade","53","Yunnan Province","400","Kilogram","2140","Number of item","621",
"01069090","Other live animals, not for pure-bred breeding","121","Macao,China","10","Ordinary Trade","44","Guangdong Province","9300","Kilogram","31000","Number of item","5,975",
"01069090","Other live animals, not for pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","22","Jilin Province","9215","Kilogram","252650","Number of item","227,134",
"01069090","Other live animals, not for pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","32","Jiangsu Province","100","Kilogram","2500","Number of item","913",
"01069090","Other live animals, not for pure-bred breeding","138","United Arab Emirates","10","Ordinary Trade","43","Hunan Province","160","Kilogram","720","Number of item","800",
"01069090","Other live animals, not for pure-bred breeding","304","Germany","39","Other","11","Beijing","0","Kilogram","4000","Number of item","303",
"01069090","Other live animals, not for pure-bred breeding","502","United States","39","Other","33","Zhejiang Province","3","Kilogram","298","Number of item","1,046",
"02012000","Fresh or chilled unboned bovine meat ( excl. carcasses)","110","Hong Kong£¬China","10","Ordinary Trade","50","Chongqing","2243","Kilogram","0","?","22,157",
"02012000","Fresh or chilled unboned bovine meat ( excl. carcasses)","601","Australia","10","Ordinary Trade","31","Shanghai Province","15952","Kilogram","0","?","431,657",
"02012000","Fresh or chilled unboned bovine meat ( excl. carcasses)","609","New Zealand","10","Ordinary Trade","44","Guangdong Province","87","Kilogram","0","?","2,136",
"02013000","Fresh or chilled boneless bovine meat","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","9603","Kilogram","0","?","148,838",
"02013000","Fresh or chilled boneless bovine meat","110","Hong Kong£¬China","10","Ordinary Trade","50","Chongqing","20651","Kilogram","0","?","371,948",
"02013000","Fresh or chilled boneless bovine meat","121","Macao,China","10","Ordinary Trade","44","Guangdong Province","3741","Kilogram","0","?","52,752",
"02013000","Fresh or chilled boneless bovine meat","340","Belarus","10","Ordinary Trade","32","Jiangsu Province","58557","Kilogram","0","?","369,884",
"02013000","Fresh or chilled boneless bovine meat","340","Belarus","10","Ordinary Trade","65","Xinjiang Uygur Autonomous Region","19501","Kilogram","0","?","121,671",
"02013000","Fresh or chilled boneless bovine meat","402","Argentina","10","Ordinary Trade","32","Jiangsu Province","20048","Kilogram","0","?","132,310",
"02013000","Fresh or chilled boneless bovine meat","402","Argentina","10","Ordinary Trade","43","Hunan Province","66118","Kilogram","0","?","546,425",
"02013000","Fresh or chilled boneless bovine meat","402","Argentina","34","Entrepot Trade by Bonded Area","31","Shanghai Province","42794","Kilogram","0","?","311,984",
"02013000","Fresh or chilled boneless bovine meat","601","Australia","10","Ordinary Trade","11","Beijing","105537","Kilogram","0","?","889,719",
"02013000","Fresh or chilled boneless bovine meat","601","Australia","10","Ordinary Trade","12","Tianjin","21827","Kilogram","0","?","225,633",
"02013000","Fresh or chilled boneless bovine meat","601","Australia","10","Ordinary Trade","31","Shanghai Province","3748128","Kilogram","0","?","45,932,473",
"02013000","Fresh or chilled boneless bovine meat","601","Australia","10","Ordinary Trade","32","Jiangsu Province","679617","Kilogram","0","?","7,559,436",
"02013000","Fresh or chilled boneless bovine meat","601","Australia","10","Ordinary Trade","37","Shandong Province","568410","Kilogram","0","?","5,183,760",
"02013000","Fresh or chilled boneless bovine meat","601","Australia","10","Ordinary Trade","44","Guangdong Province","13891","Kilogram","0","?","181,753",
"02013000","Fresh or chilled boneless bovine meat","609","New Zealand","10","Ordinary Trade","11","Beijing","9260","Kilogram","0","?","69,530",
"02013000","Fresh or chilled boneless bovine meat","609","New Zealand","10","Ordinary Trade","23","Heilongjiang Province","21912","Kilogram","0","?","167,714",
"02013000","Fresh or chilled boneless bovine meat","609","New Zealand","10","Ordinary Trade","31","Shanghai Province","189582","Kilogram","0","?","1,438,689",
"02013000","Fresh or chilled boneless bovine meat","609","New Zealand","10","Ordinary Trade","37","Shandong Province","10547","Kilogram","0","?","82,028",
"02013000","Fresh or chilled boneless bovine meat","609","New Zealand","10","Ordinary Trade","44","Guangdong Province","843","Kilogram","0","?","20,866",
"02013000","Fresh or chilled boneless bovine meat","609","New Zealand","34","Entrepot Trade by Bonded Area","31","Shanghai Province","45776","Kilogram","0","?","316,620",
"02022000","Frozen unboned bovine meat (excl. carcasses)","109","Democratic People's Republic of Korea","19","Border Trade","21","Liaoning Province","2888","Kilogram","0","?","22,405",
"02022000","Frozen unboned bovine meat (excl. carcasses)","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","280","Kilogram","0","?","2,317",
"02022000","Frozen unboned bovine meat (excl. carcasses)","121","Macao,China","10","Ordinary Trade","44","Guangdong Province","74","Kilogram","0","?","2,219",
"02022000","Frozen unboned bovine meat (excl. carcasses)","340","Belarus","10","Ordinary Trade","11","Beijing","93719","Kilogram","0","?","244,681",
"02022000","Frozen unboned bovine meat (excl. carcasses)","340","Belarus","10","Ordinary Trade","32","Jiangsu Province","88027","Kilogram","0","?","131,351",
"02022000","Frozen unboned bovine meat (excl. carcasses)","340","Belarus","10","Ordinary Trade","33","Zhejiang Province","234","Kilogram","0","?","1,239",
"02022000","Frozen unboned bovine meat (excl. carcasses)","340","Belarus","10","Ordinary Trade","37","Shandong Province","20500","Kilogram","0","?","43,952",
"02022000","Frozen unboned bovine meat (excl. carcasses)","340","Belarus","10","Ordinary Trade","41","Henan Province","336051","Kilogram","0","?","765,246",
"02022000","Frozen unboned bovine meat (excl. carcasses)","340","Belarus","10","Ordinary Trade","44","Guangdong Province","187710","Kilogram","0","?","343,117",
"02022000","Frozen unboned bovine meat (excl. carcasses)","340","Belarus","10","Ordinary Trade","50","Chongqing","42000","Kilogram","0","?","23,540",
